District_Division,2022-23_Area_Acres,2022-23_Hectors,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2022-23_Production_MT,2023-24_Area_Acres,2023-24_Hectors,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,2023-24_Production_MT
Barguna,0,0,0,0,0,135,55,41.2,3.8,208
Barishal,0,0,0,0,0,0,0,0,0,0
Bhola,0,0,0,0,0,247,100,37.95,3.5,350
Jhallokati,0,0,0,0,0,0,0,0,0,0
Patuakhali,0,0,0,0,0,15,6,36.67,3.29,21
Pirojpur,0,0,0,0,0,0,0,0,0,0
Barishal Division,0,0,0,0,0,397,161,39.01,3.598,579
Bandarban,0,0,0,0,0,4106,1662,41.09,3.79,6298
Brahmanbaria,0,0,0,0,0,73,30,43.35,3.998,119
Chandpur,0,0,0,0,0,402,163,45.21,4.17,678
Chattogram,0,0,0,0,0,13983,5659,40.33,3.72,21050
Cumilla,0,0,0,0,0,19871,8042,41.52,3.83,30797
Cox’s Bazar,0,0,0,0,0,0,0,0,0,0
Feni,0,0,0,0,0,97,39,40.32,3.719,146
Khagrachari,0,0,0,0,0,59,24,40.66,3.75,90
Lakshmipur,0,0,0,0,0,0,0,0,0,0
Noakhali,0,0,0,0,0,0,0,0,0,0
Rangamati,0,0,0,0,0,0,0,0,0,0
Chattogram Division,0,0,0,0,0,38591,15618,41.08,3.789,59177
Dhaka,0,0,0,0,0,0,0,0,0,0
Faridpur,0,0,0,0,0,0,0,0,0,0
Gazipur,0,0,0,0,0,79,32,44.45,4.1,131
Gopalganj,0,0,0,0,0,124,50,37.6,3.468,174
Kishoreganj,0,0,0,0,0,2023,819,39.57,3.65,2988
Madaripur,0,0,0,0,0,0,0,0,0,0
Manikganj,0,0,0,0,0,277,112,44.23,4.08,457
Munshiganj,0,0,0,0,0,0,0,0,0,0
Narayanganj,0,0,0,0,0,0,0,0,0,0
Narsingdi,0,0,0,0,0,199,81,39.89,3.679,296
Rajbari,0,0,0,0,0,0,0,0,0,0
Shariatpur,0,0,0,0,0,334,135,41.63,3.84,519
Tangail,0,0,0,0,0,0,0,0,0,0
Dhaka Division,0,0,0,0,0,3036,1229,40.29,3.716,4566
Bagerhat,0,0,0,0,0,1972,798,40.87,3.77,3008
Chuadanga,0,0,0,0,0,7627,3087,42.5,3.92,12099
Jashore,0,0,0,0,0,1403,568,39.9,3.68,2089
Jhenaidah,0,0,0,0,0,6118,2476,39.46,3.64,9012
Khulna,0,0,0,0,0,89,36,38.16,3.52,127
Kushtia,0,0,0,0,0,1300,526,40.66,3.75,1972
Magura,0,0,0,0,0,1932,782,38.38,3.54,2768
Meherpur,0,0,0,0,0,9615,3891,60.32,3.54,13774
Narail,0,0,0,0,0,1483,600,40.98,3.78,2269
Satkhira,0,0,0,0,0,1669,675,35.56,3.28,2215
Khulna Division,0,0,0,0,0,33208,13439,39.8,3.671,49335
Jamalpur,0,0,0,0,0,267,108,38.8,2.75,387
Mymensingh,0,0,0,0,0,0,0,0,0,0
Netrokona,0,0,0,0,0,44,18,46.84,4.32,77
Sherpur,0,0,0,0,0,57,23,36.25,3.12,77
Mymensingh Division,0,0,0,0,0,368,149,39.37,3.631,541
Bogura,0,0,0,0,0,2706,1095,43.25,3.56,4369
Joypurhat,0,0,0,0,0,57,23,40.1,3,85
Naogaon,0,0,0,0,0,1093,442,45.19,4.168,1844
Natore,0,0,0,0,0,79,32,42.82,3.95,126
Chapai Nawabganj,0,0,0,0,0,457,185,41.74,3.85,712
Pabna,0,0,0,0,0,0,0,0,0,0
Rajshahi,0,0,0,0,0,7095,2871,41.42,3.82,10969
Sirajganj,0,0,0,0,0,0,0,0,0,0
Rajshahi Division,0,0,0,0,0,11487,4649,42.23,3.895,18105
Dinajpur,0,0,0,0,0,1816,735,39.57,3.65,2682
Gaibandha,0,0,0,0,0,976,395,39.28,3.36,1431
Kurigram,0,0,0,0,0,4378,1772,39.5,3.45,6455
Lalmonirhat,0,0,0,0,0,8266,3345,39.79,3.67,12277
Nilphamari,0,0,0,0,0,1025,415,39.25,3.62,1502
Panchagar,0,0,0,0,0,1865,755,39.9,3.68,2777
Rangpur,0,0,0,0,0,17467,7069,39.9,3.68,26013
Thakurgaon,0,0,0,0,0,7376,2985,41.74,3.85,11492
Rangpur Divison,0,0,0,0,0,43169,17470,40.11,3.699,64630
Habiganj,0,0,0,0,0,0,0,0,0,0
Moulvibazar,0,0,0,0,0,161,65,39.25,3.62,236
Sunamganj,0,0,0,0,0,0,0,0,0,0
Sylhet,0,0,0,0,0,79,32,39.4,3.08,116
Sylhet Division,0,0,0,0,0,240,97,39.3,3.625,352
Bangladesh,0,0,0,0,0,130496,52811,40.5,3.736,197283
