Variety,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,Percentage_Change
Local,15.59,1.438,16.41,1.514,5.29
HYV,30.86,2.846,31.7,2.924,2.74
Hybrid,0,0,40.5,3.736,0
Total Local+HYV+Hybrid,29.64,2.734,31.15,2.873,5.08
