col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Kurigram,5,0,0,0,5,423,2.115
Lalmonirhat,1048,0.99,70,0.69,1048.69,390,408.9891
Bangladesh,1053,0.99,70,0.69,1053.69,406.5,428.325
