Sector,Bagda (Tiger),Harina (Brown),Chaka (White),Others,Total,Growth Rate (%)
Trawl Fishing,233,1362,65,1409,3069,25.99
Artisanal Fishing,2030,3519,3434,34245,43228,7.05
Total,2263,4881,3499,35654,46297,8.13
