col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Gaibandha,16,0,0,0,16,468.37,168
Khulna,0,519,7,36.33,36.33,884.11,32.11972
Bhola,0,663,1.22,84,84,711.32,59.75088
Chattogram,0,2.24,0,2.24,2.24,628.84,1.408602
Cumilla,9,2759,6,17.27,26.27,543.00,14.26461
Rangamati,18,529,41.4,219,237,531.81,126.039
Sirajgoanj,1573,1432,42,608,2181,548,1195.188
Natore,7057,0,0,0,7057,593,4184.801
Bangladesh,8673,5904.24,50.02372,966.84,9639.84,1698.69,5532.3563
