Name of the crops,Loss in production (M.tons/bales) by natural calamities,None,None_1
None,"Flood /Excessive Rainfall /
flash Flood / Rush of
water","Cyclone/Hailstorm/Tornado/Tidal
bore/Chttrong",Total
(LT)Aman,-,1120,1120
Aman (Broadcast),-,18,18
HYV Aman,-,5837,5837
Banana,-,503,503
Groundnut,-,61,61
Maize,-,720,720
Mashkalai,-,378,378
Boro,21304,-,21304
Aus,54569,,54569
Palong shak,-,5,5
Radish,-,3,3
Lalsak,-,6,6
Green Papya,-,39,39
Green Banana,-,82,82
Betel Leaves,-,18,18
Sugarcane,-,2,2
