District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden( M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
32,Chuadanga,5.59,5.69,5.70,0.00,0.00,0.00,5.00,6.93,6.93,5.00,6.93,6.93
33,Jashore,13.38,15.31,15.31,0.00,0.00,0.00,113.00,144.69,144.69,113.00,144.69,144.69
34,Jhenaidah,12.47,13.50,13.50,0.00,0.00,0.00,47.00,49.37,49.37,47.00,49.37,49.37
35,Khulna,7.82,7.33,7.33,4.48,3.39,2.84,29.52,30.94,31.50,34.00,34.33,34.34
36,Kushtia,10.00,16.00,16.00,0.00,0.00,0.00,34.00,49.00,49.00,34.00,49.00,49.00
37,Magura,14.81,13.16,13.16,0.00,0.00,0.00,57.00,28.65,28.66,57.00,28.65,28.66
38,Meherpur,15.26,17.98,17.99,0.00,0.00,0.00,13.00,14.11,14.12,13.00,14.11,14.12
39,Narail,24.44,24.78,24.78,0.00,0.00,0.00,8.00,8.12,8.13,8.00,8.12,8.13
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,103.77,113.75,113.77,4.48,3.39,2.84,306.52,331.81,332.40,311.00,335.20,335.24
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,8.00,14.00,2843.00,0.00,0.00,0.00,10.00,15.00,18.00,10.00,15.00,18.00
42,Mymensingh,17.00,17.00,3810.00,0.00,0.00,0.00,24.00,24.00,25.00,24.00,24.00,25.00
43,Netrokona,20.50,23.16,3648.16,0.00,0.00,0.00,22.00,28.00,28.00,22.00,28.00,28.00
44,Sherpur,2.90,2.93,5.30,0.00,0.00,0.00,4.00,4.00,8.00,4.00,4.00,8.00
Mymensingh Division,None,48.40,57.09,10306.46,0.00,0.00,0.00,60.00,71.00,79.00,60.00,71.00,79.00
45,Bogura,13.39,13.36,14.03,0.00,0.00,0.00,50.05,50.94,28.66,50.05,50.94,28.66
46,Joypurhat,4.42,6.68,28.07,0.00,0.00,0.00,19.36,21.66,24.65,19.36,21.66,24.65
