col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Naogan,41,12,15,1.8,42.8,2397.66,102.6198
Kurigram,4.8,27,53,14.2,19,2117,40.223
Bangladesh,45.8,39,41,16,61.8,2257.33,139.503
