Sl no,Name of Comodity,None,Year-2024,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
202,",,",Banana: Sagar,24.19,18.73,28.60,29.21,29.06,28.76,27.34,28.00,27.66,27.66,-,-,27.65
203,",,",Paineapple:Calengga,60.54,32.20,56.56,55.67,56.43,54.36,57.46,57.00,59.22,59.22,-,-,56.60
204,",,",Jaldub,45.29,25.98,39.99,42.82,44.59,46.58,50.77,47.00,51.00,51.00,-,-,46.29
205,,Paineapple:Local,49.49,49.55,45.94,48.04,46.19,44.82,44.70,48.00,54.26,54.26,-,-,48.19
206,",, Dry",Coconut,97.61,43.86,106.35,106.63,106.98,107.17,106.10,105.00,108.21,108.21,-,-,105.67
207,,Dates (khejur),503.10,46.16,549.86,541.77,545.79,555.85,558.57,570.00,566.32,566.32,-,-,548.84
208,",,",Tamarind with seed,141.26,104.39,157.88,154.21,160.55,167.40,167.57,180.00,154.46,154.46,-,-,159.55
209,",,",without seed,173.46,530.84,169.13,211.16,231.27,235.25,221.13,249.00,233.71,233.71,-,-,217.01
210,Vegetable:,Potato: Local,55.04,157.71,43.71,54.77,60.92,62.77,64.74,63.50,61.44,62.79,-,-,56.89
211,",,",Holland White,49.04,212.27,33.51,46.12,50.29,54.81,57.08,56.27,54.47,55.69,-,-,48.61
212,",,",Red,46.22,39.17,34.36,46.01,49.76,53.91,56.01,55.07,53.67,55.89,-,-,48.01
213,Sweet Potato,,49.64,41.46,38.31,36.25,35.77,35.70,38.45,42.91,44.75,48.70,-,-,41.19
214,Vegetable:,Brinjal High,51.39,41.33,35.29,30.64,46.75,47.53,60.36,52.63,56.46,75.46,-,-,49.78
215,Vegetable:,Brinjal Circle,58.48,45.75,40.45,36.97,53.66,54.13,66.32,59.06,66.22,86.91,-,-,56.80
216,",,",Patal,51.3.3,32.50,55.29,46.87,44.85,38.76,38.98,37.78,42.37,57.52,-,-,44.62
217,",,",Chalcumra,43.07,42.85,41.97,39.08,36.73,34.34,41.40,40.96,40.69,47.49,-,-,40.86
218,",,",Pumpkin,37.25,33.26,28.66,26.23,27.96,28.40,31.06,36.10,39.27,53.34,-,-,34.15
219,",,",Lao,51.92,52.78,36.81,31.96,35.53,37.90,46.31,45.36,44.98,52.45,-,-,43.60
220,",,",Uchehhe,72.13,83.89,66.87,48.27,51.09,55.48,79.38,68.64,61.02,74.38,-,-,66.11
221,",,",Karalla,68.58,75.88,67.89,48.28,48.68,56.57,80.77,66.17,61.29,73.34,-,-,64.74
222,Vegetable:,Green Papaya,29.28,30.90,31.66,33.45,44.01,44.36,44.06,34.43,28.08,31.55,-,-,35.55
223,",,",Mukhi kachu,65.80,70.08,96.58,104.50,92.91,80.89,72.15,58.71,52.71,58.50,-,-,75.28
224,",,",Pani kachu,53.88,64.96,61.88,50.00,51.07,48.37,45.81,43.37,48.22,52.36,-,-,51.96
225,",,",Kachur lati,55.72,62.30,63.00,52.87,50.80,50.17,55.34,54.07,52.71,60.89,-,-,55.79
226,",,",Kakrol,-,-,37.00,94.53,-,60.66,67.36,60.22,-,72.76,-,-,65.42
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
227,",,",Lady's Finger,65.63,78.30,60.72,35.08,34.89,35.58,45.09,42.59,45.18,62.76,-,-,50.58
228,",,",Sosha,40.18,49.89,49.93,28.82,33.59,56.79,52.51,41.01,41.37,51.78,-,-,44.59
229,",,",Khirai,39.23,43.93,46.03,30.24,34.44,50.68,48.89,42.34,44.74,53.31,-,-,43.38
230,",,",Beans,56.72,43.44,37.16,34.57,-,-,-,-,-,151.29,-,-,64.68
231,",,",Barbati,60.50,66.43,63.60,47.98,50.49,55.37,66.99,62.99,65.04,78.75,-,-,61.81
232,",,",Tomato Ripe,45.91,34.65,33.86,29.29,41.02,65.51,124.17,144.10,137.61,169.85,-,-,82.60
233,",,",Motorshooti,109.59,81.96,72.79,76.67,-,95.00,-,95.00,-,-,-,-,88.50
234,",,",Jinga,54.63,60.94,62.91,48.75,43.96,42.67,52.26,50.56,51.52,60.01,-,-,52.82
235,",,",Chichinga,48.55,49.49,43.31,36.87,38.57,38.46,44.25,41.01,42.91,54.81,-,-,43.82
