District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden,None_3,None_4,Production of Outside Garden,None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
47,Naogaon,175.00,191.75,216.25,0.00,0.00,16.49,1993.00,2220.10,2640.08,1993.00,2220.10,2640.08
48,Natore,181.00,187.83,187.83,0.00,0.00,0.00,1145.00,1226.54,1226.54,1145.00,1226.54,1226.54
49,Chapai Nawabganj,128.00,133.48,121.47,0.00,0.00,0.00,705.00,714.52,804.63,705.00,714.52,804.63
50,Pabna,110.00,111.54,117.52,0.00,34.96,43.25,1059.00,1154.97,1431.13,1059.00,1189.93,1474.38
51,Rajshahi,478.00,487.49,505.87,0.00,0.00,0.00,2454.00,2576.42,2667.04,2454.00,2576.42,2667.04
52,Sirajganj,18.00,17.93,19.14,0.00,0.00,0.00,191.00,201.55,219.93,191.00,201.55,219.93
Rajshahi Division,None,1811.00,1840.10,1882.58,0.00,34.96,59.74,10178.00,10889.07,11930.21,10178.00,10924.03,11989.95
53,Dinajpur,132.00,126.00,127.00,0.00,0.00,0.00,749.00,682.00,834.00,749.00,682.00,834.00
54,Gaibandha,153.89,155.21,156.00,0.00,0.00,0.00,794.95,976.43,1850.00,794.95,976.43,"1850.0
0"
55,Kurigram,40.57,40.17,43.00,0.00,0.00,0.00,436.51,342.84,346.00,436.51,342.84,346.00
56,Lalmonirhat,76.96,77.57,77.86,0.00,0.00,0.00,287.28,291.69,293.01,287.28,291.69,293.01
57,Nilphamari,75.12,74.49,77.85,0.00,0.00,0.00,474.98,514.62,490.53,474.98,514.62,490.53
58,Panchagar,58.62,59.38,59.76,0.00,0.00,0.00,466.00,468.68,512.36,466.00,468.68,512.36
59,Rangpur,47.00,47.11,47.40,0.00,0.00,0.00,830.23,859.00,741.89,830.23,859.00,741.89
60,Thakurgaon,21.65,21.66,29.90,0.00,0.00,0.00,221.11,212.10,221.00,221.11,212.10,221.00
Rangpur Divison,None,605.81,601.59,618.77,0.00,0.00,0.00,4260.06,4347.36,5288.79,4260.06,4347.36,5288.79
61,Habiganj,27.63,29.09,18.89,0.00,0.00,0.00,54.53,57.11,17.74,54.53,57.11,17.74
62,Moulvibazar,3.97,3.92,4.05,0.00,0.00,0.00,23.17,23.59,24.31,23.17,23.59,24.31
63,Sunamganj,83.00,84.00,84.00,0.00,0.00,0.00,135.00,135.00,136.00,135.00,135.00,136.00
64,Sylhet,225.49,215.00,178.79,0.00,0.00,0.00,19.86,42.32,35.48,19.86,42.32,35.48
Sylhet Division,None,340.09,332.01,285.73,0.00,0.00,0.00,232.56,258.02,213.53,232.56,258.02,213.53
BANGLADESH,None,7444.20,7802.33,7521.63,15.62,42.51,59.74,29864.57,31104.93,33320.77,29880.19,31147.44,33380.51
