SL No,Name of Region,Aman,Boro,Wheat,Sugar- cane,Cotton,Potato,Vegetables,Other Crops,Total Irrigated Area
1,Bandarban,0,15,0,..,1,2,2,1,21
2,Khagrachari,11,27,0,..,2,2,12,8,62
3,Rangamati,..,18,0,3,0,1,9,3,34
4,Chattogram,7,156,..,2,..,10,70,25,270
5,Coxs Bazar,6,129,0,0,0,4,15,3,157
6,Cumilla,12,371,2,1,0,16,21,10,433
7,Chandpur,..,154,..,1,0,23,12,2,192
8,Brahmmanbaria,21,274,..,..,0,3,11,2,311
9,Noakhali,..,173,0,..,0,..,6,2,181
10,Lakshmipur,0,81,..,..,0,..,16,2,99
11,Feni,0,73,..,..,0,..,11,2,86
,Chattogram Division,57,1471,2,7,3,61,185,60,1846
12,Sylhet,49,170,1,0,0,0,21,9,250
13,Moulvibazar,..,115,..,0,0,4,6,1,126
14,Sunamganj,17,440,1,..,0,3,23,5,489
15,Habiganj,39,302,..,0,0,4,9,3,357
,Sylhet Division,105,1027,2,0,0,11,59,18,1222
16,Dhaka,34,104,..,0,0,2,10,..,150
17,Gazipur,22,142,..,..,..,1,9,7,181
18,Manikganj,20,117,..,..,0,3,6,37,183
19,Munshiganj,0,59,0,..,0,74,8,9,150
20,Narayanganj,10,48,..,..,0,6,14,2,80
21,Narsingdi,19,134,..,..,0,..,29,2,184
22,Faridpur,97,57,45,5,0,1,15,77,297
23,Rajbari,108,32,28,3,..,..,14,30,215
24,Madaripur,16,80,11,..,0,2,11,31,151
25,Gopalganj,12,190,15,..,0,1,5,5,228
26,Shariatpur,11,65,7,..,0,3,10,4,100
27,Tangail,88,420,5,..,..,3,26,9,551
28,Kishoreganj,29,405,3,..,0,9,11,4,461
,Dhaka Division,466,1853,114,8,0,105,168,217,2931
29,Mymensingh,26,644,3,3,..,4,30,11,721
30,Jamalpur,50,319,15,11,0,11,17,18,441
31,Sherpur,10,219,2,..,0,8,17,5,261
32,Netrokona,26,446,1,..,..,2,5,3,483
,Mymensingh Division,112,1628,21,14,0,25,69,37,1906
33,Barishal,2,130,2,..,0,2,19,10,165
34,Jhalokathi,1,27,..,..,0,..,5,1,34
35,Perojpur,0,48,..,..,0,3,13,2,66
36,Bhola,0,102,1,..,0,6,19,17,145
37,Patuakhali,1,2,0,..,0,1,2,36,42
38,Barguna,0,20,0,..,..,1,1,..,22
,Barishal Division,4,329,3,..,0,13,59,66,474
39,Jashore,162,388,1,1,2,4,59,42,659
40,Jhenaidah,193,210,10,3,4,4,43,123,591
41,Magura,142,90,7,..,..,..,35,51,325
42,Narail,102,120,3,1,0,..,9,7,242
43,Khulna,6,148,..,..,0,2,25,10,191
44,Bagerhat,1,144,..,1,0,1,15,5,166
45,Satkhira,10,194,2,..,0,6,41,7,260
46,Kushtia,263,88,33,9,1,4,107,132,637
47,Chuadanga,76,80,2,5,1,6,71,257,498
48,Meherpur,64,49,30,1,1,3,56,81,285
,Khulna Division,1019,1511,88,21,9,30,461,715,3854
49,Rajshahi,178,163,56,13,..,99,70,111,690
50,Naogaon,272,489,49,1,0,52,38,100,1001
51,Natore,125,148,54,28,..,1,19,105,480
52,Chapai Nawabganj,94,109,53,3,0,2,13,106,380
53,Bogura,241,461,7,..,..,126,30,48,913
54,Joypurhat,10,169,7,2,0,84,10,2,284
55,Pabna,90,135,79,3,0,6,31,73,417
56,Sirajganj,153,347,6,..,0,4,15,61,586
,Rajshahi Division,1163,2021,311,50,0,374,226,606,4751
57,Rangpur,47,322,4,..,..,109,26,34,542
58,Gaibandha,38,315,7,1,..,23,27,28,439
59,Kurigram,18,270,25,..,0,15,11,10,349
60,Nilphamari,59,202,11,..,..,55,17,89,433
61,Lalmonirhat,90,117,3,..,..,12,8,61,291
62,Dinajpur,227,426,21,3,..,127,52,98,954
63,Thakurgaon,38,152,124,12,1,70,15,76,488
64,Panchagarh,1,79,53,4,0,24,15,25,201
,Rangpur Division,518,1883,248,20,1,435,171,421,3697
,BANGLADESH,3444,11723,789,120,13,1054,1398,2140,20681
