District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
41,Jamalpur,47.00,47.00,47.00,10.65,13.64,13.96,0.35,0.35,0.04,11.00,14.00,14.00
42,Mymensingh,384.00,386.00,390.00,2049.50,"1494.5
0","2114.8
2",46.42,14.50,39.18,"2095.9
2","1509.0
0","2154.0
0"
43,Netrokona,0.00,3.00,40.00,0.00,0.16,13.14,0.00,0.84,3.86,0.00,1.00,17.00
44,Sherpur,49.12,52.00,53.00,1951.13,702.50,528.93,10.14,0.50,7.07,"1961.2
7",703.00,536.00
Mymensingh Division,None,480.12,488.00,530.00,4011.28,2210.80,2670.85,56.91,16.19,50.15,4068.19,2226.99,2721.00
45,Bogura,42.00,35.00,35.20,106.62,66.70,39.88,3.11,4.30,25.22,109.73,71.00,65.10
46,Joypurhat,23.00,23.00,9.40,39.76,69.40,16.72,3.77,3.60,4.18,43.53,73.00,20.90
47,Naogaon,110.00,84.00,228.80,162.18,444.47,"1067.1
3",0.99,9.53,9.07,163.17,454.00,"1076.2
0"
48,Natore,99.00,101.00,101.90,160.70,167.24,352.18,19.84,20.76,30.42,180.54,188.00,382.60
49,Chapai Nawabganj,64.00,59.00,61.50,118.67,108.50,73.94,19.50,15.85,6.46,138.17,124.35,80.40
50,Pabna,7.00,4.00,3.90,21.46,8.70,10.79,5.52,0.30,0.01,26.98,9.00,10.80
51,Rajshahi,303.00,309.00,308.30,363.24,453.77,482.72,13.13,25.23,15.28,376.37,479.00,498.00
52,Sirajganj,16.00,30.00,2.28,0.00,0.00,0.00,4.10,4.00,4.10,4.10,4.00,4.10
Rajshahi Division,None,664.00,645.00,751.28,972.63,1318.78,2043.36,69.96,83.57,94.74,1042.59,1402.35,2138.10
53,Dinajpur,121.00,123.00,130.00,130.57,189.67,203.43,6.54,93.52,95.57,137.11,283.19,299.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Kurigram,1.12,1.51,4.00,0.54,0.58,2.43,4.17,3.01,4.57,4.71,3.59,7.00
56,Lalmonirhat,108.89,111.14,112.04,83.08,85.95,85.03,3.50,4.39,7.31,86.58,90.34,92.34
57,Nilphamari,24.52,25.31,26.13,41.42,42.93,40.79,3.04,3.01,3.29,44.46,45.94,44.08
58,Panchagar,40.41,39.73,41.00,55.52,58.92,73.18,40.00,40.45,45.82,95.52,99.37,119.00
59,Rangpur,41.83,42.72,45.45,81.50,85.91,91.29,4.09,4.44,4.61,85.59,90.35,95.90
60,Thakurgaon,131.39,131.39,131.39,151.80,208.42,197.34,84.00,60.49,59.66,235.80,268.91,257.00
Rangpur Divison,None,469.16,474.80,490.01,544.43,672.38,693.49,145.34,209.31,220.83,689.77,881.69,914.32
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,10.89,10.89,10.89,16.05,9.27,13.14,0.97,0.63,0.86,17.02,9.90,14.00
Sylhet Division,None,10.89,10.89,10.89,16.05,9.27,13.14,0.97,0.63,0.86,17.02,9.90,14.00
BANGLADESH,None,4456.81,4184.23,4707.64,9119.28,7711.02,9717.54,1149.86,1174.99,1346.46,10269.14,8886.00,11064.00
