Variety,2022-23,None,2023-24,None_1,Percentage (%) changes over previous year
None,"Yield Per Acre
(Maund)","Yield
Per Hector
(M. Ton)","Yield Per Acre
(Maund)","Yield
Per Hector
(M. Ton)",None
Local,152.09,14.028,152.87,14.100,(+) 0.51%
High Yielding Variety,264.97,24.440,266.44,24.671,(+) 0.95%
Total (Local+HYV),248.28,22.901,250.67,23.198,(+) 1.30%
