col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Khulna,0,4157.3,19.99976,831.45,831.45,884.11,735.0933
Bangladesh,0,4157.3,19.99976,831.45,831.45,884.11,735.0933
