Station name,Jan.,Feb,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec,Annual
Dhaka,75,59,61,62,69,77,78,82,79,79,63,64,70
Tangail,83,71,69,64,71,80,79,83,81,83,75,77,76
Mymensingh,85,76,75,75,76,86,84,85,83,87,80,82,81
Faridpur,82,71,68,65,73,79,83,85,83,84,74,76,76
Madaripur,86,78,74,73,78,83,86,87,86,85,82,81,81
Srimangal,87,75,72,73,78,86,82,86,82,86,81,84,81
Sylhet,80,70,67,76,77,88,83,86,79,84,75,76,78
Bogura,83,70,68,60,74,82,80,84,82,84,75,75,76
Dinajpur,86,71,68,61,70,82,81,81,82,83,79,78,76
Ishwardi,84,76,70,56,70,78,82,85,85,86,81,80,77
Rajshahi,85,76,71,58,73,79,84,87,86,87,81,80,78
Syedpur,83,71,67,60,68,80,79,79,79,81,76,77,75
Chuadanga,86,76,73,59,71,78,82,87,85,86,81,80,78
Jashore,83,77,72,66,73,78,84,85,84,85,81,80,79
Khulna,83,75,72,68,75,80,87,88,84,84,76,***,***
Mongla,82,77,74,73,80,84,89,91,88,87,80,76,81
Satkhira,81,76,74,68,74,78,85,88,84,84,78,76,78
Barishal,85,75,73,74,78,81,86,91,86,86,80,79,81
Bhola,86,78,76,77,81,84,87,91,87,88,82,82,83
Khepupara,83,77,80,77,83,84,89,91,88,85,80,75,82
Patuakhali,83,75,74,76,82,84,89,92,88,87,83,84,83
Chandpur,84,75,73,77,79,84,85,90,87,86,78,79,81
Teknaf,74,75,77,77,***,***,***,***,***,***,***,***,***
Cumilla,84,72,75,77,78,85,84,86,82,81,76,76,79
Cox's Bazar,70,65,66,72,75,84,88,89,85,79,70,65,75
Feni,80,73,71,73,76,84,83,87,81,81,77,77,78
Hatiya,85,79,78,80,83,88,90,92,***,***,***,***,***
Kutubdia,76,75,73,75,78,82,85,87,84,82,75,71,78
M.court,81,74,73,75,79,83,86,90,84,83,75,74,79
Rangamati,77,68,65,63,68,75,79,86,79,81,79,80,75
Sandwip,84,77,75,78,81,86,88,91,86,87,82,81,83
Chittagong,75,70,68,76,83,87,86,89,84,79,68,65,77
Sitakunda,65,59,59,63,73,79,78,81,70,70,74,68,69
Gopalgonj,83,75,71,69,77,80,86,90,86,86,78,78,79
Tarash,86,78,76,70,76,82,80,85,83,86,80,78,80
Netrokona,87,80,79,78,76,87,83,85,83,87,82,82,82
Rajarhat,87,76,73,69,74,85,83,83,83,86,82,83,80
Badalgachhi,86,75,75,68,76,83,82,85,86,88,83,81,80
Dimla,86,75,72,70,73,85,83,83,84,85,78,81,79
Kumarkhali,83,74,70,62,72,79,83,86,84,86,80,78,78
Tetulia,85,72,69,65,72,85,84,84,83,84,80,81,78
Nikli,90,79,78,78,78,87,80,85,82,86,80,83,82
