District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden,None_3,None_4,Production of Outside Garden,None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
,Rajshahi Division,26.81,30.36,47.83,9.00,12.42,62.03,14.49,15.39,18.28,23.49,27.81,80.31
53,Dinajpur,1.22,1.14,1.15,0.32,0.26,1.66,2.26,2.24,16.58,2.58,2.50,18.24
54,Gaibandha,0.73,0.83,1.83,0.00,0.00,0.00,1.93,2.00,2.22,1.93,2.00,2.22
55,Kurigram,1.68,1.19,0.63,2.95,1.93,5.98,1.24,0.86,8.02,4.19,2.79,14.00
56,Lalmonirhat,4.04,4.46,5.00,0.00,0.00,0.00,0.77,0.79,5.00,0.77,0.79,5.00
57,Nilphamari,0.00,0.00,2.52,0.00,0.00,0.00,0.00,0.00,1.42,0.00,0.00,1.42
58,Panchagar,4.44,3.45,4.03,7.39,0.79,12.68,1.14,0.22,2.33,8.53,1.01,15.00
59,Rangpur,18.30,21.53,21.41,7.52,7.79,23.27,2.80,2.86,7.60,10.32,10.65,30.87
60,Thakurgaon,0.00,0.00,7.49,0.00,0.00,9.62,0.00,0.00,11.67,0.00,0.00,21.30
Rangpur Divison,None,30.41,32.60,44.06,18.18,10.77,53.21,10.14,8.97,54.83,28.32,19.74,108.04
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BANGLADESH,None,608.09,667.37,705.82,21939.58,21380.90,2286.84,200.29,107.74,163.70,22140.14,21488.64,23028.54
