Sl no,Name of Comodity,None,Year-2022,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
01,Paddy Aman,Fine,"3,497","3,630","3,597","3,528","3,490","3,283","3,272","3,238","3,425","3,412",-,-,"3,437"
02,",,",Medium,"3,145","3,197","3,160","3,138","3,044","2,978","2,916","2,873","3,001","3,056",-,-,"3,051"
03,",,",Coarse,"2,829","2,914","2,914","2,925","2,834","2,759","2,657","2,664","2,934","2,739",-,-,"2,817"
04,",,",Pajam,"3,954","4,038","3,923","3,942","3,206",-,-,-,-,-,,-,"3,813"
05,‘’,shugandhi,"5,613","6,092","6,319","6,548","6,514","5,650","5,700","5,700",-,-,-,-,"6,017"
06,Paddy Aus,medium,-,-,-,-,-,-,-,"2,297","2,858","2,858",-,-,"2,671"
07,",,",coarse,"3,031","2,969","3,055","3,000",-,-,-,"2,277","2,422","2,516",-,-,"2,753"
08,",,",Pajam,"2,775","2,850",-,-,-,-,-,-,"2,525","2,525",-,-,"2,669"
09,Paddy Boro,fine,"3,854","3,838","3,778","3,391","3,072","3,089","3,115","3,138","3,233","3,286",-,-,"3,379"
10,",,",medium,"3,370","3,387","3,306","2,996","2,744","2,788","2,834","2,877","2,913","2,980",-,-,"3,020"
11,‘’,coarse,"2,922","2,927","2,902","2,679","2,452","2,499","2,595","2,658","2,696","2,745",-,-,"2,708"
12,Rice Aman,fine,"6,839","6,849","6,802","6,813","6,780","6,641","6,588","6,626","6,607","6,571",-,-,"6,712"
13,",,",medium,"5,244","5,243","5,239","5,222","5,197","5,180","5,164","5,181","5,113","5,136",-,-,"5,192"
14,",,",coarse,"4,431","4,453","4,463","4,447","4,450","4,460","4,488","4,500","4,445","4,469",-,-,"4,461"
15,",,",Pajam,"5,834","5,742","6,110","6,075","6,221","6,189","6,199","5,823","5,613","5,519",-,-,"5,932"
16,Rice Aus,medium,"5,350","5,350","5,350","5,525","5,525","5,350","5,350","4,025","5,225","4,444",-,-,"5,149"
17,",,",coarse,"4,050","4,100","4,150","4,350","4,313","4,150","4,150","4,250","4,200","3,923",-,-,"4,164"
18,‘’,Pajam,"7,050","7,050","7,080","7,100","7,100","7,100","7,100","7,020","6,900","6,850",-,-,"7,035"
19,Rice boro,fine,"6,752","6,830","6,741","6,750","6,521","6,382","6,311","6,390","6,397","6,210",-,-,"6,528"
20,",,",medium,"5,526","5,549","5,510","5,200","5,248","5,179","5,151","5,149","5,201","5,129",-,-,"5,284"
21,",,",coarse,"4,449","4,497","4,457","4,458","4,358","4,332","4,468","4,334","4,395","4,364",-,-,"4,411"
22,",,",pajam,"5,650","5,670","5,712","5,717","5,578","5,454","5,254","5,040","5,022","5,000",-,-,"5,410"
23,Rice OMS,course,"3,525","3,528","3,525","3,525","3,525","3,488","3,450","3,450","3,456","3,456",-,-,"3,493"
24,Aromatic rice,Chinigura,"11,641","11,891","12,079","12,180","12,122","12,080","12,065","12,673","12,613","11,970",-,-,"12,131"
25,“,Kalojira,"10,796","11,104","11,026","11,318","11,168","11,330","12,929","11,615","11,445","11,719",-,-,"11,445"
26,“,kataribhog,"8,530","9,104","9,035","9,100","8,643","8,569","8,490","8,380","8,312","8,203",-,-,"8,637"
27,Wheat local,red,"4,931","4,936","4,775","4,687","4,670","4,467","4,321","4,236","4,280","4,187",-,-,"4,549"
28,",,",white,"5,092","5,066","4,844","4,650","4,609","4,391","4,227","4,106","4,197","3,948",-,-,"4,513"
29,Imported,red,"4,941","4,948","4,921","4,820","4,761","4,458","4,252","4,150","4,214","3,941",-,-,"4,541"
30,",,",white,"5,467","4,999","5,108","5,032","4,941","4,509","4,340","4,151","4,232","4,036",-,-,"4,681"
31,Ata,loose,"5,532","5,471","5,475","5,354","5,187","4,768","4,537","4,333","4,350","4,220",-,-,"4,923"
32,",,",Packet,"6,337","6,245","6,240","6,188","6,084","5,889","5,654","5,365","5,148","4,917",-,-,"5,807"
33,flour,loose,"6,224","6,180","6,134","6,071","5,924","5,742","5,581","5,486","5,414","5,333",-,-,"5,809"
34,",,",packet,"7,203","7,203","7,129","7,088","7,014","6,929","6,758","6,491","6,348","6,167",-,-,"6,833"
35,Maize,-,"3,794","3,759","3,682","3,312","2,723","2,613","2,670","2,819","2,986","3,043",-,-,"3,140"
36,Kalai,mash,9810,10047,10292,10608,10966,11154,11575,12136,12470,12666,-,-,"11,172"
37,",,",mashur,9115,9114,8899,8459,8489,8388,8396,8377,8660,9301,-,-,"8,720"
38,",,",mug,9527,9209,9102,8692,8508,8258,8404,8437,8115,8861,-,-,"8,711"
39,",,",Chola,7691,8082,8520,7966,7739,7603,7519,7425,7516,7658,-,-,"7,772"
40,",,",Motor local,6332,7320,7202,7112,6980,6270,6142,6175,6631,6871,-,-,"6,703"
41,",,",Motor foreign (Dabri),6060,6089,6084,6033,5958,5853,5733,5583,5650,5685,-,-,"5,873"
42,",,",kheshari,5807,5796,5650,5601,5793,5719,5699,5726,5935,6225,-,-,"5,795"
43,Dal,Mash gota,11653,11676,11762,12076,12016,12307,13139,13506,14018,14218,-,-,"12,637"
44,",,",Broken,12405,12591,12757,12817,13119,13731,14628,14975,15081,15113,-,-,"13,722"
45,",,",Mashur local gota,12320,12279,12287,12312,12274,12191,12062,12001,12122,12218,-,-,"12,207"
