col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Kurigram,35.21,122.3,37,45.39,80.6,2413,194.4878
Lalmonirhat,6.5,11.5,44,5.05,11.55,3215,37.13325
Rangpur,2.4,7,50,3.5,5.9,2126,12.5434
Pabna,6,3,67,2,8,2950,23.6004
Naogan,23.2,0,0,0,23.2,745,17.27333
Bangladesh,50.11,143.8,39,55.94,106.05,3568.017,378.3882
