col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Sirajgoanj,134,30,21,6.387,140.387,577,250.97
Natore,7945,589.1,51,302.2083,8247.208,640,10738
Khulna,0,4157.3,19.99976,831.45,831.45,884.11,735.0933
Bangladesh,8071,4776.4,50,1140.0453,9219.045,1492.61,5838.9453
