col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Sirajganj,49.48,0,0,0,49.48,4918,243.3
Pabna,0,324,12,38.49,38.49,5137,197.7
Naogan,0,12,8,0.97,0.97,5955,5.8
Kurigram,70.12,87.35,62,53.902,124.022,3827,474.6
Bangladesh,119.6,423.35,22,93.362,212.962,4959.25,1056.1
