col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Kurigram,40.01,148.7,50,75.031,115.041,2458,282.7708
Naogan,29,62.8,84,52.54,81.54,4170,340.0218
Sirajganj,70.25,0,0,0,70.25,3646,256.1315
Bangladesh,139.26,211.5,60,127.571,266.831,3424.667,913.8072
