District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden(M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
49,Chapai Nawabganj,10,20.34,24.88,50.95,99.18,110.59,0.05,0.01,0.00,51,99.19,110.59
50,Pabna,0,6.39,6.61,0,40.33,48.05,0,0.00,0.00,0,40.33,48.05
51,Rajshahi,19.11,31.20,38.70,42.95,156.60,229.86,0.04,0.00,0.77,42.99,156.60,230.63
52,Sirajganj,1.01,1.67,2.99,6.84,13.13,49.39,2.33,0.67,0.28,9.17,13.80,49.67
Rajshahi Division,None,148.12,228.05,275.69,892.31,2357.38,3015.82,5.85,6.67,7.67,898.16,"2364.0
5","3023.4
9"
53,Dinajpur,31,31.07,32.00,39.98,68.63,75.92,0.02,0.88,3.08,40,69.51,79.00
54,Gaibandha,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
55,Kurigram,0,0.00,1.50,0,0.00,0.00,0,0.00,1.40,0,0.00,1.40
56,Lalmonirhat,1.10,1.16,1.24,2.80,6.71,7.70,0,0.01,0.00,2.80,6.72,7.70
57,Nilphamari,8.07,8.34,9.16,98.75,100.74,102.66,0.30,0.41,0.41,99.05,101.15,103.07
58,Panchagar,4.67,6.08,11.24,4.58,5.67,27.95,0,0.01,0.00,4.58,5.68,27.95
59,Rangpur,7.80,7.81,24.16,20.49,20.32,25.78,1.20,1.25,1.75,21.69,21.57,27.53
60,Thakurgaon,4.30,2.90,3.05,0.63,0.64,0.38,0.01,0.00,0.00,0.64,0.64,0.38
Rangpur Divison,None,56.94,57.36,82.35,167.23,202.71,240.39,1.53,2.56,6.64,168.76,205.27,247.03
61,Habiganj,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
62,Moulvibazar,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
63,Sunamganj,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
64,Sylhet,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
Sylhet Division,None,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
BANGLADESH,None,717.53,1135.40,1914.31,3094.47,5807.16,9533.80,59.37,152.13,152.13,3153.84,5959.29,9754.91
