Type of Fishing,Number of Craft (Trawler/ Boat),Number of Unit (Gear/Net),Catch in Metric Ton,None,None_1,None_2,None_3
,,,Shrimp,Hilsa,"Tuna & Tuna
Like Fish","Other
Fish",Total
"A. INDUSTRIAL
Trawl Fishing
a) Shrimp Trawler
b) Fish Trawler","33
204","99
612","1141
813","0
2368","0
6204","2078
102200","3219
111585"
TOTAL INDUSTRIAL (A),237,711,1954,2368,6204,104278,114804
"B. ARTISANAL
1. Gill Net Fishing
a) Gill Net/ Trammel Net
upto 1000 (m)
b) Gill Net/ Trammel Net
> 1000 (m)","11124
14086","15731
15766","0
0","73521
176321","3364
4268","71451
60349","148336
240938"
SUB TOTAL,25210,31497,0,249842,7632,131800,389274
2. Set Bag Net Fishing,2929,23725,22181,1927,107,64886,89101
3. Long Line Fishing,94,555,0,0,550,1690,2240
"4. Other Gears/ Traps
Fishing",342,2004,2134,26781,0,4289,33204
TOTAL ARTISANAL (B),28575,57781,24315,278550,8289,202665,513819
GRAND TOTAL (A+B),28812,58492,26269,280918,14493,306943,628623
