col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
1511 Palm oil crude,Kg,2602783037,283677394,"306846558
0",332634139,2966415551,294346285
"151190090 Palm
oil/fractions,other",Kg,2555097507,278519916,"302905394
7",328145161,2935227390,291040044
15131100 Coconut (copra) oil/,Kg,1088799,130052,807387,90298,2836,1345
15131900-fraction other,,1021617,182266,875514,183661,1332831,300865
15132100 Palm kernel or,Kg,7458658,1339245,6165408,911342,6294872,714509
"babassu oil, crude",,-,-,6158509,1090721,-,-
15132900 Palm kernel/babasu,Kg,4158074,640015,615809,1090721,5328875,-
oil/frcton other,,-,-,84223,19882,-,1016231
"15132900 Castor oil and its
fraction",Kg,4158074,640015,14448564,2338970,5328875,1016231
"15155000 Sesame oil and its
fraction",Kg,83116,15020,3567116,306334,88314,21017
"15162000 Veg fat oil/fraction
hydrogenated",Kg,14807983,2267739,2262,6080,12895443,1957611
"15161000 Animal/veg oil fat boil
oxid other",Kg,898778,85998,85367,34826,2142590,199345
1520 Glycerol (glycerine) crude,Liter,26728,2747,22972,14160,29562,6764
"15211000 Vegetable waxes
refine/colour or not",Kg,84871,29340,,177681282,99697,41645
"15219000 Beeswax and other
insect waxs",Kg,28706,18589,8,1,21815,19864
"17011400 Cane sugar raw not
add flavor/color",M.ton,4775043496,185351047,179785961,11378332,2872327595,191004553
"17011200 Beet sugar raw not
add flavor/color",M.ton,76,6,92508,25348,-,-
"17019900 Sugar cane/beet
chem pure/solid other",M.ton,102491505,4983069,2907014,253558,238922,11291896
"17021900 Sugar: Lactose, solid
form",kg,69190,32279,7719,1615,32625,7373
"17023090 Sugar glucose solid
<20% fructose",Kg,4283321,292325,813,173,4059241,379942
"17026000 Sugar: glucose syrup
<=20% fructose",Kg,10234,1480,-,-,24473,5609
"17024000 Sugar: fructose/syrup
50% + other",Kg,12928,591,2546907,559988,7,27
"17041000 Chewing gum (sugar
coated or not)",Kg,-,-,4247838,1457935,-,-
"1805Cocoa powder not added
sugar/sweet",Kg,2954562,516637,4453486,2250955,2238825,453484
"1806 Chocolate/food prep contain
coca",Kg,4140344,1291244,21714812,7479428,2984892,1124200
"19011000 Malt/other prep for
infant/invalid",Kg,7631647,3009422,11579,744325,3357341,1775652
"19019011 Malt extract not for retail
sale",Kg,25621374,6083690,343727,142954,19494954,6732404
"1903 Tapioca subst from potato,
other",Kg,11225897,607517,,,3613830,940967
"19053100 Sweet biscuits,waffles &
wafers",Kg,314824,111372,,,270548,122415
