Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug,Sep.,Oct.,Nov.,Dec.
Dhaka,14.5,18.2,21.8,25,25.4,27.3,27.7,27,26.9,25.2,*,*
Tangail,12.5,16.3,20.2,23.3,23.6,25.9,26,25.5,25.2,22.3,*,*
Mymensingh,12.3,16.4,19.8,22.6,23.6,26.2,27.3,27.1,26.8,24.1,*,*
Faridpur,12.5,16.2,19.8,23,23.7,26.6,26.8,26.6,26.7,24.4,*,*
Madaripur,12.6,16,19.6,23.3,23.7,26.2,26.8,26.4,26.4,24.2,*,*
Srimangal,10.5,13.5,17.4,21,23.1,25.1,26.2,26,26,23.2,*,*
Sylhet,13.9,16.6,19.7,22.4,23.6,25.2,26.1,26.1,26.3,23.7,*,*
Bogura,12.1,16.2,20.5,23.6,24,26.8,27.4,27.1,27.2,24.3,*,*
Dinajpur,10.4,14.1,18.7,21.1,23.1,25.9,27.2,26.9,26.5,22.5,*,*
Ishwardi,10.6,14.1,18.8,22.2,23.4,26.9,27,26.7,26.4,23.1,*,*
Rajshahi,11.2,14.2,19,22.3,23.6,26.9,27.1,26.9,26.6,23.5,*,*
Rangpur,11.4,15.5,19.5,22.4,23.6,25.9,27.4,27,27,23.7,*,*
syedpur,10.7,14.6,18.7,21.1,22.6,25.6,27,26.9,26.4,22.7,*,*
Chuadanga,11.2,14.6,19.1,22.3,24,27,27,26.7,26.7,23.5,*,*
Jashore,12.3,15.8,19.7,23.2,24.1,27,26.9,26.6,26.9,23.8,*,*
Khulna,14.1,17.9,20.9,24.9,25,27.5,27.4,26.7,26.6,24.8,*,*
Mongla,14.8,18.3,21.4,24.9,24.9,27.1,27.2,26.8,26.4,24.8,*,*
Satkhira,13.8,17.6,20.8,24.6,25,27.1,27.6,26.9,27.1,24.8,*,*
Barishal,12.3,16.5,19.6,23.7,24,26.7,26.9,26.3,26,24,*,*
Bhola,12.6,16.5,19.8,24.1,24.5,26.7,27.1,26.5,26.1,24.4,*,*
Khepupara,13.6,17.4,20.8,24.8,24.9,26.8,27,26.1,26,24.6,*,*
Patuakhali,14.1,17.3,20.7,24.6,24.7,27,27.1,26.5,26.3,24.9,*,*
Chandpur,14.8,18.2,21.2,24.7,24.8,26.9,27.2,26.7,26.9,25.1,*,*
Ambagan(Ctg,15.6,17.8,21.8,24.6,25.2,26.3,26.6,26,26.2,24.7,*,*
Chittagong,15.6,18.2,21.8,24.9,25.5,26.2,26.8,26.1,26.5,25,*,*
Cumilla,13,16.5,19.3,23.3,24,26,26.5,26.2,26.4,24.1,*,*
Cox's Bazar,16.4,18.4,22.5,25.2,25.6,26.1,26.2,25.4,26,24.8,*,*
Feni,12.9,15.8,18.9,23.1,24.1,25.6,26.2,25.7,25.8,23.7,*,*
Hatiya,14.1,16.7,20.5,24,24.7,26,27.1,26.2,26,24.5,*,*
Kutubdia,14.9,17.3,20.6,23.6,24.8,24.6,25.5,24.6,24.8,****,*,*
M.court,14.9,17.7,20.3,24.4,24.7,26.4,27.1,26.6,26.6,25.3,*,*
Rangamati,13.6,16.8,18.7,22.4,24.1,25.3,25.7,25.2,25.4,23.6,*,*
Sandwip,13.6,16.4,19.7,23.7,24.5,26.1,26.6,25.7,25.9,24.2,*,*
Sitakunda,13.1,15.2,19,22.8,24.2,26.3,26.3,25.6,25.9,23.4,*,*
Teknaf,15.4,16.8,19.9,22,26.1,26.5,****,****,****,****,*,*
Gopalgonj,13.1,16.5,20.1,24.2,24,26.7,26.9,26.3,26.3,24.1,*,*
Tarash,11.9,15.9,19.8,22.5,23.8,27,27.5,27.1,27.3,24.3,*,*
Netrokona,12.5,16.3,19,21.7,23.3,25.6,27,26.9,26.7,24.7,*,*
Rajarhat,10.3,13.8,17.9,20.5,22.4,25.2,26.8,26.6,26.3,22.7,*,*
Badalgachhi,10.4,15,19.2,21.3,23.1,26.5,26.9,27,26.8,23.2,*,*
Dimla,10.5,14.5,17.9,20.4,22.3,25.3,27,26.8,26.3,22.3,*,*
Kumarkhali,12.2,15.8,20,23.1,24,27,27.1,26.7,26.9,24.2,*,*
Tetulia,9.1,13.4,16.5,19.7,21.6,24.8,26,26,25.6,20.7,*,*
Nikli,12,11.7,15.4,18.6,21.4,22.5,24.5,26.1,25.6,25.3,*,*
