Division,No. of Hatchery,Hatchling Production (Kg),None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,Tilapia Juvenile (Lakh)
None,None,"Major
Carp","Exotic
Carp",Pangas,"Thai
Punti",Bata,Koi,"Shingi/
Magur",Other,Total,None
9. Dhaka,49,14250,4581,50,1445,2389,910,644,1391,25660,582
10. Mymensingh,378,34342,23297,9973,9833,6956,15797,44087,34198,178483,6175
11. Khulna,83,42040,22749,496,1686,2644,27,495,7661,77798,22213
12. Barishal,29,12799,3045,350,1803,0,99,157,210,18463,783
13. Rangpur,114,33196,27830,150,6315,17193,1070,3479,1600,90833,217
14. Rajshahi,199,70354,51183,13765,5943,15113,2344,10691,7652,177045,22809
15. Chattogram,100,35193,14469,5358,1952,2826,210,97,7255,67360,2819
16. Sylhet,19,7117,3115,0,1122,561,0,0,803,12718,1146
TOTAL,971,249291,150269,30142,30099,47682,20457,59650,60770,648360,56744
