Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
Dinajpur,20.2,26.6,29.8,36.3,34.3,32.9,34.1,33.6,33.7,31.5,30.2,25.9
Rangpur,20.8,26.5,29.7,35.4,34.2,32.6,34.2,33.8,33.5,31.9,***,***
Rajshahi,21.9,27.4,31.7,39.0,35.9,36.2,34.8,33.5,33.8,32.4,30.1,26.1
Bogura,21.3,27.2,30.5,37.0,34.3,33.3,34.0,32.7,33.7,31.9,30.7,26.5
Mymensingh,21.7,26.6,29.8,35.1,33.9,31.6,33.1,32.0,33.6,31.4,30.5,26.5
Sylhet,24.6,27.5,31.0,32.9,32.6,30.7,33.3,31.9,34.4,31.2,30.4,27.1
Srimangal,23.4,27.8,31.2,35.8,33.9,32.2,34.2,32.2,34.2,32.3,31.2,27.0
Ishwardi,22.1,27.3,31.9,39.2,36.2,36.2,34.5,33.2,33.6,32.3,30.1,25.8
Dhaka,23.0,28.5,31.8,37.0,34.9,34.1,33.8,32.2,33.5,32.7,31.2,27.1
Cumilla,23.0,28.1,30.7,34.5,34.0,32.6,32.9,30.7,33.3,32.6,31.1,***
Chandpur,23.1,28.5,31.4,35.6,34.7,34.2,33.3,31.6,33.4,32.7,30.9,26.8
Jashore,23.4,28.6,32.6,38.5,36.2,36.3,33.7,32.7,33.9,33.0,30.7,27.0
Faridpur,22.9,28.4,32.1,37.8,35.1,35.0,33.7,32.8,33.7,32.6,30.9,***
Madaripur,22.2,27.6,31.1,36.2,35.0,34.6,33.0,31.6,32.9,32.5,30.1,***
Khulna,23.1,28.1,32.0,37.8,35.5,35.5,33.2,31.7,33.6,33.0,30.8,***
Satkhira,23.0,27.9,31.5,37.4,35.2,35.3,33.2,31.7,33.0,32.3,30.0,***
Barishal,23.9,29.0,32.1,36.5,34.8,34.5,32.7,31.0,33.1,32.8,30.8,***
Bhola,24.1,28.9,31.9,35.9,34.8,34.3,32.8,31.0,33.4,33.0,31.1,27.1
Feni,24.1,29.1,31.9,35.2,34.7,32.9,33.0,31.0,33.8,33.7,32.3,28.2
M.court,23.2,28.1,31.1,34.8,34.4,32.9,32.2,30.2,32.9,32.6,30.7,26.7
Hatiya,24.3,28.2,***,***,***,***,***,***,***,***,***,***
Sitakunda,26.0,30.0,32.5,35.3,34.9,33.5,32.8,30.7,33.4,33.5,32.3,***
Sandwip,25.5,29.1,31.8,34.3,34.4,32.6,31.9,30.2,33.0,33.3,31.8,28.8
Ambagan(Ctg,25.5,29.4,32.2,35.6,34.1,33.0,32.1,30.3,32.9,33.2,32.1,***
Kutubdia,24.9,28.0,31.1,34.6,33.7,33.0,31.7,30.6,32.6,33.0,31.8,28.1
Cox's Bazar,26.2,29.5,32.2,35.0,34.1,32.4,30.8,30.6,32.4,33.0,32.1,***
Teknaf,27.4,30.0,32.5,34.8,***,***,***,***,***,***,***,***
Rangamati,25.1,29.2,32.8,37.0,34.5,33.1,32.6,30.9,33.6,32.6,30.9,***
Patuakhali,24.5,29.2,32.7,36.7,35.1,34.5,32.4,31.1,33.1,33.2,30.6,27.4
Khepupara,25.1,29.8,32.8,36.7,35.1,34.5,32.5,31.0,32.9,33.5,31.0,28.0
Syedpur,21.0,27.3,30.9,36.2,34.6,32.6,34.1,33.6,34.2,32.1,30.5,***
Tangail,22.3,27.8,31.4,37.7,35.2,34.2,34.0,32.4,33.7,32.3,31.2,26.7
Mongla,23.8,28.9,32.5,38.3,35.6,35.2,33.1,31.6,33.3,33.3,30.5,26.9
Chuadanga,22.3,27.8,32.2,39.1,36.5,36.5,34.7,33.0,34.0,32.6,30.2,25.8
Chittagong,24.8,28.7,31.7,34.8,34.0,33.2,32.5,30.6,32.9,33.0,31.4,***
