col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Sirajganj,37,0,0,0,37,2100.83,77.73
Kurigram,11.1,64.6,60.20,38.89,49.99,1871,93.53
Lalmonirhat,6.5,7.34,73,5.34,11.84,1848,21.88
Bangladesh,54.6,71.94,61,44.23,98.83,1939.943,191.72
