col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"2006 Fruit nut fruit peel prsrv by
sugr",Kg,259576,17330,361940,25172,366317,34395
"2007 Jam fruit jelly marma- led
fruit cook",Kg,221802,81839,375764,144581,170147,73108
"20084000 -Pears prep/prsrv /sugar
or not",Kg,215,66,-,-,495,195
20091100 Orange juice other nec,Liter,164,23,43370,11533,41880,15514
20099000 Mixture of fruit juice,Liter,628202,85043,612066,95366,370132,62862
2102100 Active yeasts,Kg,5689303,903100,5762683,1119678,5447334,1257395
"21023000 Prepared baking
powders",Kg,461365,61947,286372,48813,290719,60745
"21039090 Sauces and
preparation, other",Kg,2795099,379943,2672059,471247,2971266,617512
"2104 Soup homogenise composite
food prep",Kg,1048003,265324,696256,216476,951860,341924
"2105 Ice cream/Ice cont cocoa or
not",Kg,35202,29975,28677,29235,24505,27161
"2106 Food preparation, other",Kg,15589884,8533508,15263063,11986099,14285892,10125873
"22019000-Water, nec",Liter,320250,27912,243061,22617,152787,16846
"22021000-Mineral water cont
sugar/sweet/flvr",Liter,388695,40996,469859,50850,457551,52752
2203000-Beer made from malt,Liter,703817,95344,891518,220294,951860,218351
22041000-Sparkling wine,Liter,110492,71753,130096,85091,24505,73225
"22042100-Wine other grape must
cont <=2 liter",Liter,23825,10943,68476,33970,14285892,17335
"22051000-Vermouth/other wine
cont <=2 liter",Liter,-,-,24,23,156,197
"22060000-Fermented beverage,
other not cider",Liter,-,-,47,30,8311,3908
"22082000 Ethyl alchol/other spirit
denatured",Liter,25708,31931,48511,64655,39323,45296
22083000-Whiskies,Liter,374293,159781,663765,454807,620637,466865
22084000-Rum and Tafia,Liter,1917,925,6612,4470,6899,3328
"22071000-Undenatured ethyl
alcohol other",Liter,351374,94386,294364,93808,365212,122468
22090000 Vinegar/substi from,Liter,219800,25811,121753,16958,156412,23292
23040000-Soyabean oil-cake,Kg,472357031,22097618,777041004,46681070,1050229763,66331563
"23091000-Preparations use in
animal feed nec",Kg,1301402,52443,1438719,119430,2757712,350139
"24011000-Tobacco N/stem/strip
flucure virginia",Kg,31130,2741,30303,2332577,30500,3592
24012000-Tobacco whole/part,Kg,1431379,780036,1002933,632141,2006228,1523597
stem/strip virg,,-,-,-,-,-,-
"31021000-Urea Aqueous solution
or not",Kg,1635018532,108210434,"238947823
1",153644712,2136854888,90998162
31022100-Ammonium sulphate,Kg,24884860,572094,17953070,665665,12053890,4858510
3103-Super phosphate fertilizer,Kg,1148265820,73333714,838296685,73336817,993019952,53249770
"31039000-Mineral/chemical
fertilizer nec",Kg,120,33,21,12,-,-
