Variety,2022-23,None,2023-24,None_1,Percentage (%) changes over previous year
None,"Area
(Acre)","Area
(Hector)","Area
(Acre)","Area
(Hector)",None
Local,"1,66,422","67,350","1,57,351","63,679",(-) 5.45%
High Yielding Variety,"9,59,175","3,88,173","9,75,654","3,93,300",(+) 1.32%
Total (Local+HYV),"11,25,597","4,55,523","11,33,005","4,56,979",(+) 0.32%
