SL:,Name of crops,2019-20,2020-2021,2021-2022,2022-2023,2023-2024
135,Cumin,32591,32568,34500,,
136,Fennel flower (Kalojira),14525,16600,19581,,
137,Dry fish-Rupchanda,-,-,-,,
138,Loitta,-,-,-,,
139,Punti,-,-,-,,
140,Prawn,-,-,-,,
141,Salted Hilsa,-,-,-,,
142,Fish-fresh-Rui,22030,23715,22668,,
143,Mrigel,14299,16026,16459,,
144,Katol,20095,22014,21327,,
145,Boal,56447,44613,47175,,
146,Hilsa,43189,48317,44288,,
147,koi,14857,14773,14309,,
148,Cat fish (shing),45364,42962,45453,,
149,Magur,49318,50719,53960,,
150,Telapia,11068,11743,11328,,
151,Sarpunti,11441,14303,12373,,
152,Pangus,9798,10552,10264,,
153,Shole,45484,37438,38830,,
154,Grasscarp,13390,14274,13779,,
155,Siver carp,11445,11997,12058,,
156,Mola,21946,18999,22943,,
157,Aire,-,-,-,,
158,Shrimp-Galda,47500,54900,62455,,
159,Small prawn,34280,34523,41173,,
160,Others-Betel nut,27209,27207,28232,31222,
161,Gur-Sugarcane,6552,6510,7167,,
162,Gur-dates,8162,8184,10441,,
163,Muri,5617,5695,6224,,
164,Chira,4030,3886,4401,,
165,Betel leaves (6400 Gadi),5754,5779,6371,5843,
,,,,,,
