District/Division,None,Total,Forest,Not available for cultivation,Culturable waste,Current fallow,Single cropped,Double cropped,Triple cropped,Quardruple Cropped,Net cropped,Gross cropped
1,None,2,3,4,5,6,7,8,9,10,11,12
1,Bandarban,1107,798,107,106,15,42,28,11,0,81,131
2,Khagrachari,679,554,39,3,0,13,50,20,0,83,173
3,Rangamati,1511,1379,39,11,0,43,27,12,0,82,133
4,Chattogram,1305,426,413,29,12,75,255,95,0,425,870
5,Cox’s Bazar,616,209,154,14,5,65,138,31,0,234,434
6,Cumilla,777,2,201,8,54,125,278,108,1,512,1009
7,Chandpur,407,0,132,5,38,125,83,24,0,232,363
8,Brahmmanbaria,465,0,124,6,23,129,151,32,0,312,527
9,Noakhali,911,385,177,8,5,44,210,82,0,336,710
10,Lakshmipur,356,50,63,4,0,12,170,57,0,239,527
11,Feni,245,20,86,3,0,12,91,33,0,136,293
1,"Chattogram
Division",8379,3823,1535,197,152,688,1481,505,1,2672,5170
12,Sylhet,853,50,263,42,10,258,172,58,0,488,776
13,Moulavibazar,692,71,185,32,14,191,149,50,0,390,639
14,Sunamganj,926,18,296,46,22,340,139,65,0,544,813
15,Habiganj,651,36,201,21,14,113,204,62,0,379,707
2,Sylhet Division,3122,175,945,141,60,902,664,235,0,1801,2935
16,Dhaka,362,1,175,9,20,90,53,14,0,157,242
17,Gazipur,446,65,163,12,2,98,82,24,0,204,334
18,Manikganj,342,0,110,7,51,34,87,51,2,174,369
19,Munshiganj,248,0,82,5,35,36,73,17,0,126,233
20,Narayanganj,169,0,70,5,24,35,22,13,0,70,118
21,Narsingdi,284,0,97,0,45,40,71,29,2,142,277
22,Faridpur,507,0,103,43,1,51,204,105,0,360,774
23,Rajbari,270,0,34,14,0,37,118,65,2,222,476
24,Madaripur,278,0,46,3,43,60,93,33,0,186,345
25,Gopalganj,363,0,117,9,6,56,130,45,0,231,451
26,Shariatpur,290,0,111,5,4,65,76,30,0,170,305
27,Tangail,844,123,156,23,63,148,229,102,0,479,911
28,Kishoerganj,664,0,190,21,10,198,193,52,0,443,770
3,Dhaka Division,5067,189,1454,156,304,948,1430,580,6,2964,5575
29,Mymensinghh,1086,39,296,8,18,116,455,151,3,725,1491
30,Jamalpur,523,10,118,9,2,59,222,100,3,384,815
31,Sherpur,337,20,65,3,5,35,160,45,4,244,506
32,Netrokona,690,2,181,32,34,143,232,65,1,441,806
4,"Mymensingh
Division",2636,71,660,52,59,353,1069,361,11,1794,3618
33,Barishal,688,0,222,6,0,273,152,35,0,460,682
34,Jhalokathi,175,0,46,0,4,30,66,29,0,125,249
1,None,2,3,4,5,6,7,8,9,10,11,12
35,Perojpur,316,1,109,2,6,113,59,26,0,198,309
36,Bhola,841,360,49,5,15,102,169,140,1,412,864
37,Patuakhali,796,150,151,11,86,260,117,21,0,398,557
38,Barguna,453,75,32,8,90,163,53,32,0,248,369
5,"Barishal
Division",3269,586,609,32,201,941,616,283,1,1841,3030
39,Jashore,644,0,178,7,47,23,249,139,1,412,944
40,Jhenaidah,486,0,133,0,2,23,215,113,0,351,790
41,Magura,257,0,68,9,10,7,94,68,1,170,403
42,Narail,239,0,69,5,2,11,90,59,1,163,372
43,Khulna,1086,546,195,11,35,186,84,29,0,299,441
44,Bagerhat,978,567,88,13,45,171,65,29,2,265,392
45,Satkhira,943,370,135,17,65,220,106,30,0,356,522
46,Kushtia,398,0,106,9,0,18,128,137,0,283,685
47,Chuadanga,290,0,78,4,12,4,64,127,1,196,517
48,Meherpur,186,0,60,1,0,4,22,97,2,125,347
6,"Khulna
Division",5507,1483,1110,76,218,667,1117,828,8,2620,5413
49,Rajshahi,599,0,119,3,1,108,237,126,5,476,980
50,Naogoan,849,7,128,5,80,147,325,155,2,629,1270
51,Natore,470,0,105,3,2,68,212,80,0,360,732
52,Chapai Nawbganj,421,0,104,5,22,68,161,61,0,290,573
53,Bogura,716,0,187,2,0,7,293,222,5,527,1279
54,Joypurhat,250,0,40,0,0,4,119,87,0,210,503
55,Pabna,587,0,199,4,10,34,234,105,1,374,821
56,Sirajganj,594,0,216,1,0,12,249,115,1,377,859
7,"Rajshahi
Division",4486,7,1098,23,115,448,1830,951,14,3243,7017
57,Rangpur,593,3,114,3,5,20,302,143,3,468,1065
58,Gaibandah,523,0,136,3,1,56,248,77,0,383,783
59,Kurigram,555,0,203,7,2,39,236,66,2,343,717
60,Nilphamari,382,1,87,4,0,5,195,89,1,290,666
61,Lalmonirhat,308,0,91,1,0,7,135,72,2,216,501
62,Dinajpur,851,18,152,1,0,50,409,218,3,680,1534
63,Thakurgaon,440,2,45,2,1,8,267,114,1,390,891
64,Panchagarh,347,5,73,2,0,28,167,72,0,267,578
8,"Rangpur
Division",3999,29,901,23,9,213,1959,851,12,3037,6735
BANGLADESH,None,36465,6363,8312,700,1118,5260,10166,4594,53,19972,39493
