col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Pabna,101,0,0,0,101,186.97,18.884
Naogan,184,0,0,0,184,217.57,40.0329
Bogura,10322,1228,50,614,10936,204.14,2232.48
Rajshai,242.3,1538,55,845,1087.3,199.66,217.09
Sirajganj,513,307,36,110.8,623.8,154.5,96.38
Bangladesh,11362.3,3073,89,1569.8,12932.1,356.585,2583.7
