Sl no,Name of Comodity,None,Year-2023,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
88,",,",carpus,18625,18625,18625,18656,18694,18234,18250,19643,17854,17854,19913,20750,18861
89,Tobbaco,Jati-1(High quality),22750,22750,22750,23125,24100,24250,24250,24250,24167,24167,24300,24543,23783
90,",,",Jati-2 (Medium),17000,17000,17000,17000,18600,19000,19000,19000,19000,19000,20167,20708,18540
91,",,",Jati-3 (general),14500,14500,14500,14500,15300,15500,15500,15500,15500,15500,15500,16000,15192
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
92,",,",Motihar heavy,15016,14725,15013,15514,15331,15981,15975,16359,16800,16800,18399,19113,16237
93,",,",Motihar medium,12944,12983,13103,13192,13512,15550,15800,15715,15925,15925,13072,17353,14590
94,",,",Moti general,11583,12083,12250,13058,16300,14500,14500,14500,14500,14500,15875,19083,14165
95,",,",Vargina (heat-cured),16500,16500,16500,16500,17100,17500,17500,17500,18500,18500,18500,18500,17383
97,‘’,Bangla-8 (heat-cured),-,-,16500,16500,17000,17000,17000,17000,17000,17000,17000,17000,16900
98,"Hide skin:
COW",Light,24010,24897,25621,25659,30459,31008,26484,27626,29180,29267,29835,31010,27921
99,",,",Medium,40325,39950,41790,41898,45093,45112,42476,43526,45544,47416,49300,50091,44377
100,",,",heavy,62966,63633,64825,65198,66431,66880,6307,65288,71408,73088,74302,77180,67875
101,",,",katachera,31200,31200,31170,31150,31610,31288,38080,35576,44156,44868,38583,45247,36177
102,"Hide skin
Bufello",heavy,69222,71938,75071,75071,74786,75071,71500,72289,79031,84306,98778,100278,78945
103,",,",medium,62857,63929,70000,65714,61500,61458,59792,61250,61719,57500,66681,69722,63510
104,",,",katachera,-,-,-,-,-,17000,17000,17000,17000,17000,17000,1700,17000
105,Hide skin,Sheep,5183,7109,7250,7308,7768,7815,6808,6019,6121,5925,6221,5897,6619
106,",,",Goat,3941,4120,4161,4128,4300,4364,4584,4606,4828,4853,4901,4490,4440
107,"Chemical
fertilizer",Uria 50 kg,1100,1100,1100,1350,13500,1350,1350,1350,1350,1350,1308,1310,1281
108,",,","TSP ,,",1100,1100,1100,1350,1350,1350,1350,1350,1350,1350,1307,1310,1281
109,",,","DAP ,,",850,850,850,1050,1050,1050,1050,1050,1050,1050,1015,1016,994
110,",,","AMP ,,",800,800,800,1000,1000,1000,1000,1000,100,1000,981,983,947
111,",,",Zinc LOCAL,7108,7067,6929,5847,5675,5516,5470,5578,5588,5922,4990,4815,5875
112,",,",Zinc foreign,8612,8721,8731,8527,9310,9360,9360,9360,9404,9239,7092,7076,8733
113,",,",Zipsum,947,939,723,762,765,727,705,707,697,725,617,573,741
114,"Organic
fertilizer",Cowdung 50 kg,235,244,380,383,372,360,360,360,382,382,343,311,343
115,"Milk &
Milkproduct","Powder Milk
(Packaged)",62917,63125,63500,63500,63500,63500,63500,63500,63500,66125,66275,56161,63259
116,Cow Milk,liquid,6532,6614,6683,6813,6873,6833,6804,6829,6816,6864,6962,6941,6797
117,Cow Milk,Milkvita,8018,8110,8217,8300,8492,8575,8617,8607,8272,8492,8638,8752,8424
118,Gawa ghee,-,11480,11515,11730,11710,11650,11650,11650,11770,12475,12446,13516,19773,12614
119,Dano,--,11957,12176,12105,11935,11018,11021,10990,11004,10888,10927,8940,8510,10956
120,Red cow,-,7498,7519,7529,7541,6255,6405,6275,6275,6709,6779,8156,7434,7031
121,"Powdered milk-
anchor",,8852,8848,8848,8852,8864,8915,7973,7973,7973,8175,81756,8854,8525
122,"Condensed
milk",One kartoon,3728,3815,3937,3932,4098,4221,4244,4292,4340,4407,4644,4702,4197
123,"Hen/chicken-
Live",Local large(900gm+),39906,41697,46831,50583,52330,50987,48270,46283,45789,45676,45201,45084,46553
124,",,",",, medium(700gm+)",38872,41357,45572,48137,50973,50000,47273,45129,44841,44554,44320,44292,45443
125,",,",",, small(500gm+)",37807,40291,44907,47233,49318,48192,45989,43636,42700,42577,41489,43300,43953
126,",,",Cock,24135,26074,29989,30531,29757,26771,26159,26578,27382,27483,26754,26978,27383
127,",,",Farm broiler,13477,17006,21107,19342,19279,17259,15570,15786,16596,16326,15633,15828,16934
128,",,",Duck,35062,37883,40340,41372,42940,43202,40878,41271,40497,40592,40932,40633,40467
129,Meat,Cow,63129,63840,64931,67972,69758,70063,70087,70221,69920,70210,68632,65081,67820
130,",,",Goat,81886,83996,86966,86452,90322,91947,91402,91848,91465,92261,92990,92973,89542
131,Egg,Chicken local,1353,1416,1436,1434,1450,1451,1497,1533,1539,1563,1546,1524,1479
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
133,",,",Farm red,875,1021,1043,911,1071,1071,1084,1163,1159,1174,1044,971,1056
134,",,",Farm white,862,1008,988,973,1036,1046,1061,1139,1147,1157,1024,950,1032
135,",,",duck,1416,1504,1448,1414,1416,1412,1442,1490,1518,1552,1521,1507,1470
136,Fish (Ka):Fresh,Rui local big(5+kg),32750,32750,36500,36500,-,-,-,-,-,-,-,-,34625
137,",,","Rui local
(2.5+kg)medium",31623,31593,32530,32980,33632,33940,34716,35080,35662,36697,36854,36720,34336
138,",,","Rui local small
(1.5+kg)",25366,25128,25590,26261,26776,26936,27934,28503,28950,29644,29168,28375,27386
139,",,","Imported
medium(2.5+kg)",26549,26759,27572,27806,28496,29140,30728,31114,32371,32169,31405,30933,29587
140,",,",Imported small,20692,20756,21035,21926,22101,22639,24798,25339,25125,24783,25859,24633,23307
141,",,",Katal large,38958,40000,40167,37370,37500,37266,39167,41367,33777,39558,39790,39522,38703
142,",,",medium,29834,30378,31065,31485,31681,32387,33274,33784,33484,34904,34948,34560,32649
143,",,",small,23146,23633,24382,24711,24852,25388,26189,27262,27507,28110,27573,26629,25782
144,Fish (Ka):Live,Mrigel large,24826,25385,25723,25966,26614,26861,27262,27303,28227,28955,29432,29641,27183
145,",,",small,16853,16925,17527,17579,18109,18556,19169,20077,19720,20617,20320,19806,18771
146,",,",Airr large,75417,74583,74167,68750,68750,67153,81875,110000,80000,120000,119000,####,87752
147,",,",small,51320,53929,55071,58528,57775,55025,60769,59333,53389,55038,53850,51581,55467
148,",,",Boal large,70500,71875,75750,83469,79314,80458,84063,82188,90250,88611,83069,88167,81476
149,",,",Small,46194,45296,47563,49924,47483,45673,47845,47600,48808,47490,45907,45706,47124
150,",,",Chital large,70167,70167,71100,72969,71563,74063,74609,73125,74500,75250,76000,74292,73150
151,",,",Chital small,51250,51250,47167,49156,53188,53188,46391,38550,43800,44542,45750,43271,47292
152,",,",Pangush larges,15587,16859,17556,17981,18855,18558,19112,20119,20778,20811,22079,21071,19114
153,",,",small,12665,12770,13152,13592,14001,14455,15058,15306,15609,15627,15196,14679,14343
154,",,",Hilsha (small/ larges),73526,77344,80280,80117,80459,83266,88598,91095,92518,92907,85913,88702,84560
155,",,",Prawn bagda,69894,72744,73067,67912,75776,70777,80208,79757,79014,76503,75192,67257,74008
156,",,",golda,6905,69984,70193,70118,71629,73169,80268,80386,79722,83458,80187,74495,75260
157,",,",small,43909,49938,52010,52415,53380,56405,56689,57478,57991,57298,56251,56133,54158
158,",,",Koii,19163,20016,20050,20473,20393,20719,21287,21711,22451,22372,21250,20998,20907
159,",,",Magur,41442,41036,41750,41335,39730,39750,38336,39703,39353,39236,37741,36923,39694
160,",,",Shing,35837,35908,35946,35892,36355,37486,37463,36623,36548,35011,36203,36206,36290
161,",,",Silvar curp,14630,14860,15493,16152,16058,16579,16949,17431,17764,17583,17430,17383,16526
162,",,",Grass curp,17630,17905,18112,18780,18938,19378,19568,20184,20438,20612,20790,20719,19421
163,",,",Telapia / Nailotika,14287,14485,14822,15235,15525,15895,16445,17184,17348,17387,16876,16542,16002
164,",,",Rupchada,65313,65313,67292,67969,68964,68516,70717,72641,69938,71344,68144,64833,68415
165,Fish(Kha)Dry,Rupchada,137500,137500,137500,137500,137500,133750,125625,132500,141667,121250,103500,138125,131993
166,",,",Loitta,52087,52375,53850,55672,56647,58867,59925,60833,60833,64725,65281,65081,58848
167,",,",Puti,51292,39625,50300,49875,49357,49571,50333,52233,4889,54458,50406,51717,49838
168,",,",Prawn,55292,62000,84213,74500,71395,73313,75117,73493,66775,68828,69069,73607,70633
169,“,Kachki,48639,48287,51094,51722,52656,51889,52531,51303,55500,53848,52911,54258,52052
170,,Salted Hilsha,63333,65417,67667,69167,69167,70417,65958,70833,67000,65929,63500,63363,66812
171,Betel nut,-,36808,37186,37517,37149,37764,38301,38791,38824,38702,38286,37485,36960,37814
172,Betel leaves,Large (Bangla),9819,10777,11100,12080,11797,11088,11314,10708,9942,10318,9650,10381,10748
173,",,",Medium,6813,7629,7842,8153,7938,7705,7179,6687,6656,6259,6472,7038,7173
174,",,",Small,4319,4345,4656,4620,4716,4274,4175,4360,4167,4114,4477,4086,4359
175,",,",Sanchi,2283,1950,2150,2083,2339,2417,2283,2150,1990,1990,3617,2683,2328
176,Fruits:,Mango Guti,-,-,-,-,3867,3208,4010,6688,9000,-,-,-,5355
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
177,",,",Gopalbhog,-,-,-,-,5367,4400,4564,5000,7467,-,-,-,5360
178,",,",Himsagor,-,-,-,-,5195,4876,5625,6838,7500,-,-,-,6007
179,",,",Langra,-,-,-,-,4849,4623,5972,7250,-,-,-,-,5673
180,",,",Fazli,-,-,-,-,-,3863,5109,6587,9075,8750,-,-,6676
181,",,",Aswini,--,-,-,-,-,5750,3846,4842,6936,-,-,-,5344
182,",,",Amrupali,-,-,-,-,-,4938,5817,7211,-,-,-,-,5989
183,",,",Harivangga,-,-,-,-,-,5279,5859,7588,-,-,-,-,6242
184,Jackfruits,Large(4+kg),-,-,-,-,-,11499,8821,7568,18063,17500,-,-,12582
185,,Small,-,-,-,8333,16292,6403,5603,6129,11300,11500,-,-,7464
186,Fruits,Green Coconut,5461,5547,5757,5500,5813,7016,7155,7459,7821,7639,7276,6905,6772
187,",,",Batabi lebu,1424,1819,1572,6407,6826,2700,1973,2458,2701,3013,3747,4481,2568
188,",,",Elachi lebu,332,332,559,1887,3044,260,250,253,262,296,313,321,335
189,",,",Kagozi lebu,351,380,491,491,353,312,284,254,274,321,346,374,362
190,",,",Guava,4785,4879,4718,548,412,4693,4438,4074,4412,4525,4392,4581,4559
191,",,",Amra,4271,4200,4480,4479,4729,3210,2960,2870,2856,3449,4271,3524,3576
192,",,",Orange,17992,18502,19637,3250,-,22090,22443,23117,26113,25697,21259,20185,21658
193,",,",Apple,19160,20547,21325,22723,22720,22396,23120,24500,25049,24855,23134,22520,22671
194,",,",Malta,19545,20362,20092,20441,19841,19385,19543,20731,26114,23297,23405,24271,21419
195,",,",Grape (anggur),30633,28621,25828,26022,26423,28234,31996,32793,36037,35385,34140,34144,30855
196,",,",Boroi,7014,5572,5297,6004,-,-,-,-,-,-,-,10143,6806
197,",,",Water melon (Tormuj),7625,-,5374,2769,4797,4813,-,5373,6025,6280,5648,5522,5423
198,Fruit:,Melon (Bangi),-,-,5495,5079,4336,4550,-,-,-,-,-,-,4565
199,",,",Ripe Papaya,5463,5743,5913,6527,5956,6417,6664,6282,6865,6308,5824,6016,6165
200,",,",Lychee,-,-,-,-,2649,4213,-,-,-,-,-,7250,4704
201,",,",Banana: Chapa,299,264,279,286,291,270,268,283,295,298,335,289,288
202,",,",Sabri,514,513,519,517,524,507,496,491,494,500,511,506,508
203,",,",Banana: Sagar,390,383,392,402,427,425,420,434,409,400,413,408,408
204,",,",Paineapple:Calengga,4531,4893,4196,4895,4223,4273,4147,4017,4486,4654,4973,4819,4509
205,",,",Jaldub,3446,3654,3287,3245,3341,3467,3515,3797,3991,4360,4605,3579,3691
206,,Paineapple:Local,3950,3047,3173,3338,3496,3223,4477,3567,3863,3832,3942,3987,3658
207,Dry,Coconut,7459,7910,8032,8175,8580,8527,8350,7698,8147,8102,8035,7669,8057
208,",,",Dates (khejur),32362,33623,35721,36610,37432,37772,39625,40857,40541,41096,43078,43936,38554
209,",,",Tamarind with seed,9943,9781,9645,10399,10462,10594,11565,10849,12403,12049,13323,12692,11142
210,",,",without seed,11750,11450,15445,15438,13500,15656,16000,15113,11658,15650,15189,19500,14696
211,Vegetable:,Potato: Local,2669,2295,2689,2805,3729,3941,4163,4277,4571,4996,5352,5739,3936
212,",,",Holland White,1774,1756,1567,2166,2929,3169,3362,3406,3897,4118,4330,4948,3119
213,",,",Red,1943,1776,1588,2246,2968,3102,3304,3404,3843,4153,4344,5003,3139
214,Sweet Potato,,2642,2555,2406,2504,2667,2766,2836,2795,2917,-,3032,3289,2764
215,Vegetable:,Brinjal High,2154,2564,2958,3266,3115,3236,3810,3773,4287,5143,3477,3284,3422
216,Vegetable:,Brinjal Circle,2403,2776,3277,3766,3509,3691,4592,4446,5191,6080,3983,4061,3981
217,",,",Patal,3620,5202,5179,4603,4016,2857,2939,3026,3454,4461,3548,3125,3836
218,",,",Chalcumra,2548,2629,2810,2796,2770,2323,2610,2634,2749,2995,2920,3125,2728
219,",,",Pumpkin,2403,2440,2259,2128,2388,2243,2470,2647,2941,3292,3318,2949,2616
220,",,",Lao,2614,2772,2534,2903,3049,2920,3165,3043,2948,3539,3222,2870,3006
221,",,",Uchehhe,5490,7583,6452,5168,4986,4976,6081,6091,5502,6071,4791,3358,5682
222,",,",Karalla,4612,6269,6393,4870,4589,4391,5672,5384,5159,6043,4626,4994,5213
223,Vegetable:,Green Papaya,1618,1707,1890,2380,3527,3279,2849,2281,1973,1943,1939,4550,2284
224,",,",Mukhi kachu,3514,3604,4192,4775,6931,5837,5335,5130,5394,6089,5604,2025,5109
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
225,",,",Pani kachu,5500,-,3250,2750,2971,2741,3282,3025,3197,3276,3130,4901,3295
226,",,",Kachur lati,3869,4149,5142,4980,4511,4231,4424,4300,4533,4880,4463,3122,4481
227,",,",Kakrol,-,-,-,7320,5420,3948,4181,4072,4447,5221,5337,4291,4797
228,",,",Lady's Finger,4243,5430,5613,3989,3194,2449,3063,3399,3713,4459,3873,3225,3947
229,",,",Sosha,2793,2496,2756,4061,3475,3016,2900,3282,3396,3988,2987,3934,3179
230,",,",Khirai,2630,2315,2400,3378,3260,2618,2739,3212,3470,4156,3268,2998,3046
231,",,",Beans,2462,2552,2876,3612,3939,-,-,-,11146,12376,5202,3104,5383
232,",,",Barbati,3934,4723,5316,4893,4379,3896,4166,4696,5419,5967,4727,4282,4709
233,",,",Tomato Ripe,2871,1837,1832,2355,3243,4775,11125,14260,9209,8145,8509,5491,6138
234,",,",Motorshooti,6478,5753,5594,5033,6375,-,-,-,-,-,-,11302,6756
235,",,",Jinga,4048,3900,5234,4670,3906,3350,3727,3922,4026,4495,3997,3663,4078
236,",,",Chichinga,3604,3606,3922,3724,3473,2957,3171,3212,3478,4035,3634,3208,3502
237,",,",Dundol,3225,3225,3752,3719,3358,2812,2826,2782,2973,3410,3171,3078,3194
238,",,",Radish Spinach,1247,1285,1321,800,1367,-,-,2036,2566,2639,1929,1447,1664
239,",,",Red Spinach,1836,1959,1861,2066,2199,2284,2352,2304,2553,2963,2483,2141,2250
240,",,",Palongsak,1652,1616,1713,1806,2004,2045,1863,2008,2307,3394,2618,2223,2104
241,",,",Indian Spinach,1714,1833,1874,1824,1785,1726,1675,1768,1905,2097,2071,1843,1843
242,",,",Danta,1773,1780,1812,1976,1965,1814,2041,1977,2074,2167,2290,2136,1984
243,",,",Cauliflower,1961,1602,1830,2719,5617,-,,,5545,5928,3637,3485,3591
244,",,",Cabbage,1561,1295,1257,1632,4133,-,,,3811,4009,3305,2516,2613
245,,Brokly,3794,2888,2918,3650,-,-,,,-,-,-,4528,3555
246,",,",Oal kopy,1673,1477,1694,2000,1700,-,-,,-,-,3467,2791,2115
247,",,",Carrot,3041,2617,2586,3374,5028,7085,8790,10044,9779,9269,8571,5026,6267
248,",,",Green Banana,388,399,388,442,420,437,476,456,466,496,517,434,443
249,",,",Radish-Local,1095,1164,1347,2513,3354,3020,3277,3143,3257,3848,2517,1419,2496
250,Bibidh:,Sugar-Local,10670,10751,11094,11442,12554,12700,12666,12840,12864,12897,13323,13355,12263
251,",,",Sugar-foreign,10459,10618,10804,11234,12490,12517,12759,12663,12837,12578,13257,13602,12152
252,",,",Sugarcane,10484,10587,10856,11076,11365,11443,11588,11628,11582,11507,11307,11302,11227
253,",,",Dates,16610,16295,17190,16206,16653,16070,14700,14735,14709,14595,14423,17184,15781
254,Salt,With Iodine,3089,3142,3180,3192,3320,3306,3324,3353,3369,3396,3399,3397,3289
255,",,",Loose,1887,1886,1891,1897,1906,1967,1972,1974,1988,1992,1998,2030,1949
256,Vushi,Mashur,4112,4257,4235,4379,4442,4442,4465,4391,4456,4262,4190,4431,4338
257,",,",Chola,4601,4744,4924,4963,5033,5086,5086,5041,4880,4869,4822,5063,4926
258,",,",Kheshari,4610,4488,4799,4812,4876,4932,4942,4901,4873,4834,4814,4779,4805
259,",,",Wheat,4595,4789,4873,4918,4977,4932,4836,4723,4546,4421,4446,4437,4708
260,",,",Rice kura,1581,1626,1679,1712,1695,1769,1746,1763,1719,1669,1660,1693,1693
261,",,",Lakri cherai Mango,None,None,None,None,None,None,None,None,None,None,None,None,None
