col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Sirajganj,9384,36930,49,1810.3,11194.3,154.5,8923.72
Bangladesh,9384,3693,49,1810.3,11194.3,154.5,1729.519
