col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
31042000-Potassium chloride,Kg,1447691425,56534746,1424531208,117424512,1528636792,64500808
310430000-Potassiam sulphate,Kg,12560841,665212,11027418,1241416,11719586,1409732
"38085000-Malathion,",Kg,-,-,-,-,-,-
"38089110-Insecticides, nec",Kg,22927975,15325699,24406925,17971936,-,-
"38092010-Fungicides for
agricultural purpose",Kg,-,-,-,-,-,-
3808401-Disinfectants,Kg,-,-,-,-,-,-
"40011000-Nturl rubber latex
vulcan or not",Kg,484010,95523,429910,108839,405150,91084
"40012110 Smoked sheet of natural
rubber",Kg,5502665,947325,5277290,1050922,2144600,412809
"40013000-Balata Gutta-percha
guavule chicle",Kg,12412,3005,1,1,-,-
"4403-Wood in the rough, other","Cu-
Mtr",251269741,10216330,160513,7512551,134491722,6045608
"45031000-Corks and stoppers,
natural",Kg,1200,201,418,3229,3951,13239
"47020000-Wood pulp chemical
dissolving grade",Kg,-,-,-,-,-,-
"47032100 Wood pulp chem
semiblch/blch coni",Kg,23752887,2141939,27095,3667411,33334882,4426203
"47032900 Wood pulp chem
semiblch/blch N/coni",Kg,266417425,16399871,229028,20797126,303034118,28606794
"47041100 Wood pulp chem
sulphite blech conifer",Kg,-,-,-,-,-,-
"47072900 Wood pulp chem
sulphite blch N/conifer",Kg,-,-,-,-,-,-
5002-Raw silk (not thrown),Kg,46615,31906,48205,57792,38935,33814
5105-Wool top,Kg,250523,207146,433482,350937,329418,406904
"5201 Cotton American RG(rolled
ginned)",M.ton,1840006117,393547485,1530276,431109505,1637298014,409481407
"84081000 Agri pistonengine
disel/semi-disel",No.,2588766,1506054,1736,2071277,1494879,3350992
"84089090-Internal piston engine
comp igni other",No,140013,226108,3975352,4813645,89995,93351
84136000 Rotary pumps,No.,10376187,3536910,369970,1662073,1429821,825277
"84242010-Appliance other
Agri/horticultural",No.,350999,238921,381093,304879,500513,445505
"84248110-Spraying machine used
in Agri",No.,-,-,-,-,-,-
8432-Ploughs,No.,28844592,5059222,25658709,5335041,23851371,4940151
84322100-Disc harrows,No.,2505,643,7940,1894,1412,484
"84329000-Parts, Agri horti mchnry
exel tractor",KG,4873608,419911,4425743,448824,5580688,603341
"84361000-Mchnry preparing
animal feed stuff",No.,7947082,4873040,4123957,2757033,5444,3153767
"843621000-Poultry-keep mchnry
incubator broodr",No.,482813,296695,331264,334395,174729,283876
"84362900-Poultry farming
machinery",No.,3017820,1173107,3482090,1580622,4476774,2146482
