Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Dhaka,0,16,86,24,399,215,346,542,490,271,22,-,-
Tangail,0,10,43,5,241,254,303,436,362,371,0,-,-
Mymensingh,0,17,37,36,286,380,318,546,175,250,0,-,-
Faridpur,1,6,12,29,158,32,374,258,424,211,3,-,-
Madaripur,5,52,74,11,356,170,243,425,419,308,9,-,-
Srimangal,0,73,46,73,729,613,369,650,150,95,20,-,-
Sylhet,0,60,89,468,821,2124,1075,826,290,428,4,-,-
Bogura,0,34,23,0,345,249,227,342,289,103,0,-,-
Dinajpur,0,2,90,0,120,324,428,231,470,44,0,-,-
Ishwardi,0,12,28,0,116,41,166,556,477,220,0,-,-
Rajshahi,0,23,23,0,153,15,350,291,160,201,14,-,-
Rangpur,0,4,97,0,107,551,454,151,323,18,0,-,-
Syedpur,0,1,42,0,154,352,498,131,432,67,0,-,-
Chuadanga,20,3,23,2,131,101,85,448,368,300,0,0,-
Jashore,31,14,59,0,218,51,399,735,433,233,0,2,-
Khulna,10,53,23,7,305,63,416,468,512,243,0,0,-
Mongla,6,18,13,11,365,295,390,956,523,262,0,5,-
Satkhira,46,65,27,29,343,39,277,664,407,291,0,0,-
Barishal,7,18,22,23,395,103,241,862,559,301,2,0,-
Bhola,5,11,17,36,430,145,422,1002,616,320,10,2,-
Khapupara,13,1,22,3,326,259,841,1345,584,252,0,0,-
Patuakhali,7,16,10,12,540,126,610,1018,664,277,19,4,-
Chandpur,3,22,93,37,420,22,327,785,524,441,4,2,-
Ambagan(Ctg),6,1,17,23,550,191,592,1095,361,79,10,0,-
Chattogram,9,2,9,32,586,261,750,1121,583,160,11,0,-
Cumilla,2,4,73,19,300,276,224,880,327,263,11,0,-
Cox`s Bazar,7,0,15,0,214,538,1672,1541,924,156,17,0,-
Feni,2,12,135,64,475,555,687,1787,346,151,2,5,-
Hatia,12,28,,,,,,,,,,,-
Kutubdia,7,0,9,0,469,515,800,1283,622,112,1,0,-
Maijdee Court,4,30,62,23,411,322,465,1646,532,327,5,0,-
Rangamat,4,1,17,23,459,327,443,936,281,161,12,0,-
Sandwip,5,2,45,20,395,532,715,1612,548,277,9,1,-
Sitakunda,2,0,10,41,300,343,742,1517,229,132,1,0,-
Teknaf,0,0,9,,,,,,,,,-,-
Gopalgonj,14,23,15,7,387,85,300,471,473,134,10,6,-
Tarash,0,17,28,1,143,146,241,395,273,262,0,1,-
Netrokona,0,24,31,3,290,689,628,344,229,313,7,-,-
Rajarhat,0,4,76,0,199,1131,393,178,319,371,7,-,-
Badalgachhi,0,14,10,0,137,195,214,256,288,107,0,-,-
Dimla,0,2,45,0,221,872,624,286,645,96,0,-,-
Kumarkhali,1,3,65,1,117,92,277,504,443,272,11,-,-
Tatulia,0,0,35,2,277,1175,779,263,545,48,3,-,-
Nikli,0,24,150,15,336,576,347,369,267,85,3,-,-
