District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
21,Gopalganj,0.48,0.67,0.69,0.00,0.00,0.00,0.90,1.35,1.47,0.90,1.35,1.47
22,Kishoreganj,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Madaripur,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,1.14,1.41,1.52,0.00,0.00,0.00,3.72,4.32,5.82,3.72,4.32,5.82
26,Narayanganj,2.84,2.75,2.61,6.96,6.87,6.79,23.32,22.75,27.52,30.28,29.62,34.31
27,Narsingdi,0.33,0.44,0.48,0.00,0.00,0.00,0.41,0.55,0.60,0.41,0.55,0.6
28,Rajbari,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,0.65,0.65,0.66,0.00,0.00,0.00,0.83,0.83,1.09,0.83,0.83,1.09
Dhaka Division,None,35.08,37.05,35.76,6.96,6.87,6.79,125.93,128.57,135.38,132.89,135.44,142.17
31,Bagerhat,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,0.35,0.35,1.46,0.00,0.00,0.00,0.48,0.32,0.56,0.48,0.32,0.56
33,Jashore,3.61,4.28,3.70,0.00,0.00,0.00,7.00,8.00,8.92,7.00,8.00,8.92
34,Jhenaidah,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Khulna,1.35,1.39,3.78,0.00,0.00,0.00,2.00,1.00,2.86,2.00,1.00,2.86
36,Kushtia,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Magura,1.49,1.49,1.58,0.00,0.00,0.00,3.00,0.00,2.59,3.00,0.00,2.59
38,Meherpur,0.66,0.86,0.95,0.00,0.00,0.00,0.13,3.00,0.36,0.13,3.00,0.36
39,Narail,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,Satkhira,2.40,2.41,2.40,0.00,0.00,0.00,1.00,1.00,0.58,1.00,1.00,0.58
Khulna Division,None,9.86,10.78,13.87,0.00,0.00,0.00,13.61,13.32,13.32,13.61,13.32,13.32
41,Jamalpur,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Netrokona,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,Sherpur,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mymensingh Division,None,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Bogura,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Joypurhat,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Natore,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
