col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Bogura,5978,612,50,306,6284,983,9964.6
Sirajgoanj,1929,599,29,176,2105,1105,2234
Bangladesh,7907,1211,40,482,8389,1044,8758.116
