col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"84378010-Machry other for the
working of rice",No.,194345,52060,149681,54375,340390,125935
"84379010--Parts nec of mchnry for
rice huller",Kg,2692203,405166,2450396,497673,2283510,524590
"84379090-Parts nec of grain
milling machnry",Kg,1201839,310556,993057,267054,680674,211076
"8701-Tractor pedestrian control
Agri, wheel",No.,2242,8190259,19458003,7729952,19320240,9081980
