Sl no,Name of Comodity,None,Year-2022,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
01,Paddy Aman,Fine,-,-,-,-,-,-,-,-,-,-,-,-,-
02,",,",Medium,-,-,-,-,-,-,-,-,-,-,-,-,-
03,",,",Coarse,-,-,-,-,-,-,-,-,-,-,-,-,-
04,",,",Pajam,-,-,-,-,-,-,-,-,-,-,-,-,-
05,‘’,shugandhi,-,-,-,-,-,-,-,-,-,-,-,-,-
06,Paddy Aus,medium,-,-,-,-,-,-,-,-,-,-,-,-,-
07,",,",coarse,-,-,-,-,-,-,-,-,-,-,-,-,-
08,",,",Pajam,-,-,-,-,-,-,-,-,-,-,-,-,-
09,Paddy Boro,fine,-,-,-,-,-,-,-,-,-,-,-,-,-
10,",,",medium,-,-,-,-,-,-,-,-,-,-,-,-,-
11,‘’,coarse,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Rice Aman,fine,72.22,72.47,72.04,71.95,71.62,70.34,70.05,70.04,69.74,69.25,68.85,67.96,70.54
13,",,",medium,55.69,55.90,55.66,55.63,55.34,55.17,54.84,54.89,54.73,54.36,54.43,53.23,54.99
14,",,",coarse,47.48,47.77,47.80,47.24,47.30,47.52,48.01,48.11,47.99,47.74,47.86,47.25,47.67
15,",,",Pajam,64.97,64.29,64.26,64.11,65.71,65.27,65.41,62.30,59.91,59.20,61.95,61.85,63.27
16,Rice Aus,medium,55.50,55.50,55.50,58.25,58.25,55.50,55.50,65.25,54.25,54.38,54.38,54.97,56.43
17,",,",coarse,42.50,43.00,43.50,46.25,45.69,43.50,43.50,45.25,44.25,45.91,47.52,48.63,44.96
18,‘’,Pajam,74.00,74.00,73.40,73.00,73.00,73.00,73.00,72.20,71.00,70.50,71.00,51.75,70.82
19,Rice boro,fine,71.23,71.76,71.20,70.84,68.87,67.64,67.03,67.41,67.51,66.19,66.69,66.71,68.59
20,",,",medium,58.33,58.69,58.28,55.15,55.78,55.02,54.90,54.93,55.00,54.79,55.62,55.86,56.03
21,",,",coarse,47.42,48.08,47.53,47.55,46.48,45.41,46.39,46.46,46.51,44.15,45.52,48.51,46.67
22,",,",pajam,60.25,60.58,61.13,61.38,60.30,58.69,56.73,54.48,54.06,53.83,54.83,58.68,57.91
23,Rice OMS,course,32.58,33.25,32.58,31.94,32.21,32.50,32.07,32.07,34.21,34.21,34.34,35.33,33.11
24,Aromatic rice,Chinigura,125.44,128.41,130.14,131.47,131.66,130.94,130.86,129.98,130.82,129.96,129.96,130.29,130.00
25,“,Kalojira,116.34,115.65,120.31,122.89,121.09,120.48,122.65,121.70,120.17,120.05,120.89,119.15,120.11
26,“,kataribhog,92.22,93.26,93.42,94.18,93.96,93.15,92.45,91.54,90.91,89.60,88.65,88.87,91.85
27,Wheat local,red,52.85,53.04,52.52,51.14,50.63,49.16,47.17,46.07,46.27,43.91,42.77,42.95,48.20
28,",,",white,53.89,53.77,51.56,50.00,49.13,47.74,46.12,44.95,43.66,42.75,43.16,43.95,47.56
29,Imported,red,52.65,52.64,52.17,51.16,52.01,48.58,46.74,46.02,44.78,43.58,43.52,43.93,48.15
30,",,",white,53.54,53.55,54.38,53.78,52.67,49.10,47.35,45.07,44.63,43.95,44.40,44.88,48.94
31,Ata,loose,59.31,58.72,58.74,57.48,55.74,51.84,49.53,47.45,47.58,44.99,43.22,45.85,51.70
32,",,",Packet,67.77,66.94,66.66,66.04,65.00,62.95,60.65,58.10,56.02,53.52,53.52,55.48,61.05
33,flour,loose,66.58,66.34,65.88,65.06,64.02,61.92,60.35,59.47,58.64,57.76,58.53,59.64,62.02
34,",,",packet,76.94,76.92,76.10,75.63,74.66,73.63,72.05,69.82,68.25,66.26,66.27,68.37,72.07
35,Maize,-,40.84,40.71,40.29,37.91,32.17,30.80,30.88,31.85,34.01,34.98,32.52,38.03,35.42
36,Kalai,mash,108.26,110.10,112.22,115.44,118.80,122.83,125.74,132.18,134.54,137.63,140.06,138.43,124.69
37,",,",mashur,95.75,95.50,93.93,87.89,88.84,88.28,88.32,88.07,89.79,99.96,102.28,101.42,93.34
38,",,",mug,104.60,103.80,102.97,95.97,93.07,93.81,93.55,93.58,94.80,98.39,106.06,116.38,99.75
39,",,",Chola,82.90,86.47,86.13,85.08,82.99,81.80,80.44,79.32,80.41,81.85,85.15,89.77,83.53
40,",,",Motor local,67.83,81.21,81.16,80.27,77.15,69.08,67.75,68.24,73.08,73.45,76.26,75.53,74.25
41,",,",Motor foreign (Dabri),65.88,66.40,66.42,65.59,65.00,64.00,62.71,61.06,61.92,62.35,62.63,62.01,63.83
42,",,",kheshari,62.77,62.70,62.89,62.08,64.08,63.33,61.13,62.01,63.28,66.17,70.06,73.48,64.50
43,Dal,Mash gota,129.32,127.07,127.32,130.19,131.68,132.17,143.66,146.94,142.21,153.22,155.24,159.63,139.89
44,",,",Broken,133.02,134.83,136.50,137.24,140.16,146.94,155.89,158.99,159.11,159.40,164.11,165.96,149.35
45,",,",Mashur local gota,131.32,131.27,131.46,131.27,130.14,129.07,128.17,127.16,128.56,129.79,131.61,132.70,130.21
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
46,",,",Mashur broken,106.27,105.09,106.98,106.11,105.40,104.35,103.58,102.51,104.23,106.06,110.69,111.92,106.10
47,",,",Mashur foreign,108.27,108.30,108.65,108.64,106.50,106.18,106.72,106.23,108.52,109.96,113.30,114.58,108.82
48,",,",Mug local,124.68,124.94,124.71,123.39,122.43,124.11,121.55,121.21,123.08,124.11,129.40,134.89,124.88
49,",,",Chola gota,83.93,88.86,91.02,90.68,88.95,87.70,85.91,85.59,86.49,85.70,89.77,93.27,88.16
50,",,",Chola broken,86.67,89.54,90.64,89.97,88.85,87.62,86.85,86.26,87.68,89.60,91.90,94.52,89.17
51,",,",Motor local,99.22,98.97,95.32,90.72,90.57,92.28,89.78,87.71,90.65,95.69,94.60,95.09,93.38
52,",,",Motor foreign,67.69,71.27,68.72,68.33,67.97,66.12,65.90,63.32,63.39,63.69,63.79,63.59,66.15
53,",,",kheshari,77.40,79.22,79.82,78.59,77.31,76.55,76.44,76.64,79.76,83.81,85.56,89.91,80.08
54,Oil seed,Mustard,100.32,97.03,90.17,93.44,91.75,91.46,90.97,90.56,95.02,95.01,97.84,97.02,94.22
55,",,",Tishi,123.45,122.50,124.60,125.67,126.36,128.28,126.95,131.55,130.70,140.50,168.21,166.25,134.58
56,",,",Till,129.50,131.50,143.50,137.63,152.24,151.71,135.97,136.99,140.14,140.63,163.34,154.36,143.12
57,",,",Nut,141.09,145.33,150.84,151.72,150.16,150.41,151.06,146.45,147.75,149.69,153.70,155.79,149.50
58,Oil,Mustard loose,237.97,236.35,234.37,233.32,232.91,231.31,229.92,225.86,221.18,217.16,216.18,215.04,227.63
59,",,",Soyabeen,172.32,170.19,172.19,169.87,175.63,171.69,168.03,164.16,160.85,157.43,157.84,158.66,166.57
60,",,",Pulm,124.42,125.64,128.65,129.70,136.25,137.24,131.47,130.53,128.92,127.03,127.68,127.56,129.59
61,“,Ghee (dalda),165.19,170.31,168.46,165.76,166.96,169.60,170.50,170.54,177.51,184.32,168.89,170.26,170.69
62,",,",Butter oil,856.67,501.00,856.67,697.50,697.50,882.50,697.50,781.67,781.67,738.75,832.67,-,756.73
63,",,",Coconut local loose,378.56,379.12,359.30,387.58,377.43,387.16,387.77,382.91,382.35,384.64,374.80,378.18,379.98
64,khail,Mustard,48.76,49.68,48.60,50.81,49.50,49.29,49.27,50.04,50.57,51.62,51.34,51.60,50.09
65,",,",Till,45.63,46.63,46.63,76.42,48.70,48.63,51.38,55.33,55.23,53.67,54.48,54.75,53.12
66,",,",Others,47.50,50.00,51.75,82.00,53.00,51.21,51.50,51.50,53.95,54.90,55.98,57.30,55.05
67,Spice,Onion local,33.73,35.72,32.53,37.69,65.05,68.48,64.85,73.19,74.69,86.19,116.06,115.98,67.01
68,",,",Onion imported,36.25,38.63,33.71,37.87,54.61,44.32,41.50,54.67,61.88,69.22,99.87,121.99,57.88
69,",,",Garlic local,96.59,113.15,97.72,103.83,138.93,138.55,163.56,211.85,214.92,207.31,207.35,229.38,160.26
70,",,",Garlic imported,138.85,172.98,147.33,138.59,150.08,151.40,186.61,217.46,207.17,190.28,187.14,208.15,174.67
71,",,",Chilli dried,406.41,396.52,410.70,417.67,417.59,416.57,427.37,427.48,426.53,423.56,422.97,423.81,418.10
72,",,",Green chilli,87.29,109.72,92.11,72.76,113.89,165.43,263.68,176.07,128.78,177.77,111.55,79.21,131.52
73,",,",Ginger local,105.29,109.08,118.73,146.61,220.24,289.45,282.68,234.14,244.03,223.52,216.27,207.48,199.79
74,",,",Ginger imported,122.42,115.96,124.36,159.20,240.19,287.39,241.72,188.74,210.75,215.56,215.17,207.96,194.12
75,",,",Turmeric round,147.04,135.72,152.18,151.64,151.15,153.10,164.54,186.70,200.74,202.94,210.73,213.90,172.53
76,",,",Turmeric long,157.05,154.98,163.96,165.62,169.69,171.64,176.99,189.58,203.43,208.33,214.34,218.91,182.88
77,",,",Coriander old,128.65,130.93,134.16,137.44,158.78,179.77,183.75,188.06,192.32,195.86,201.28,210.32,170.11
78,",,",Coriander new,121.35,161.03,118.72,130.77,152.89,169.89,171.76,-,-,-,-,-,146.63
79,Jute,White,88.13,98.75,106.00,105.00,101.25,86.88,93.75,100.00,69.19,69.03,61.89,77.71,88.13
80,",,",Tosha,70.57,72.23,72.66,73.47,75.68,71.61,71.33,252.67,168.86,63.77,61.29,60.52,92.89
81,",,",bi-bottom,67.63,62.50,63.60,65.63,68.00,65.00,63.33,56.50,55.00,50.00,54.00,-,61.02
82,",,",SMR,-,-,-,--,-,-,-,36.38,-,-,-,-,36.38
83,",,",Average chat,67.50,68.75,70.00,63.50,61.75,62.50,64.63,61.63,53.54,52.48,51.69,55.25,61.10
84,",,",Mesta average chat,52.50,50.00,53.00,55.00,65.00,67.50,70.00,72.25,61.56,55.94,52.75,51.13,58.89
85,Cotton,Shimul,482.35,479.12,479.12,475.46,475.00,465.53,470.66,471.11,480.88,480.04,494.55,496.20,479.17
86,",,",carpus,224.72,224.72,224.72,225.00,225.00,207.63,207.75,220.28,212.50,206.25,218.14,230.45,218.93
87,Tobbaco,Jati heavy,260.00,260.00,260.00,260.00,266.00,267.50,267.50,267.50,265.00,265.00,271.00,312.75,268.52
88,",,",Jati Medium,190.00,190.00,190.00,190.00,210.00,215.00,215.00,215.00,215.00,215.00,228.33,245.42,209.90
89,",,",Jati general,165.00,165.00,165.00,165.00,173.00,175.00,175.00,175.00,175.00,-,175.00,180.00,171.64
90,",,",Motihar heavy,171.41,172.50,174.38,157.60,178.83,191.67,197.25,201.30,203.50,205.00,208.10,233.21,191.23
91,",,",Motihar medium,152.50,152.50,153.25,154.38,158.81,176.67,177.50,176.33,178.33,178.33,159.58,215.71,169.49
92,",,",Moti general,151.25,155.42,157.50,163.44,187.50,180.00,180.00,180.00,171.25,189.17,188.33,210.00,176.15
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
93,‘’,Vargina heat treated),-,175.00,175.00,175.00,181.00,185.00,185.00,185.00,185.00,195.00,195.00,195.00,184.64
94,,Bangla-1 heat treated),-,-,-,169.50,169.50,169.50,-,-,-,-,-,-,169.50
95,,Bangla-2 heat treated),-,-,-,132.00,132.00,132.00,-,-,-,-,-,-,132.00
96,,Bangla-3 heat treated),-,-,-,122.50,122.50,122.50,-,-,-,-,-,-,122.50
97,,Bangla-4 heat treated),-,-,-,117.00,117.00,117.00,-,-,-,-,-,-,117.00
98,,Bangla-5 heat treated),-,-,-,106.00,106.20,106.50,-,-,-,-,-,-,106.23
99,,Bangla-6 heat treated),-,-,-,98.50,98.50,98.50,-,-,-,-,-,-,98.50
100,Hide skin: COW,Light,-,272.89,283.15,277.15,317.20,319.97,304.55,317.32,314.70,316.13,324.70,334.39,307.47
101,",,",Medium,-,461.54,454.95,463.76,495.47,495.30,479.48,488.39,489.47,490.95,516.39,575.05,491.89
102,",,",heavy,-,651.37,657.20,676.40,716.09,709.30,707.47,724.42,731.50,746.99,776.38,736.41,712.14
103,",,",katachera,-,242.50,239.35,227.65,223.59,220.81,244.38,222.24,286.69,292.33,287.00,245.39,248.36
104,"Hide skin
Bufello",heavy,-,767.50,778.13,778.13,775.63,778.13,787.22,766.25,794.44,750.69,845.00,903.13,789.48
105,",,",medium,-,664.50,695.56,680.56,656.25,660.94,664.06,731.25,723.61,680.00,760.00,870.31,707.91
,,katachera,-,-,-,-,-,82.50,210.00,210.00,210.00,210.00,210.00,210.00,191.79
106,Hide skin,Sheep,47.29,47.96,47.91,51.95,58.84,61.50,54.69,55.47,57.79,56.07,58.42,57.88,54.65
107,",,",Goat,60.49,68.80,62.26,64.52,65.58,64.71,60.99,60.13,60.08,52.54,54.15,55.63,60.82
108,"Chemical
fertilizer",Uria 50 kg,22.00,22.00,22.00,27.00,27.00,27.00,27.00,27.00,27.00,27.00,27.17,27.19,25.78
109,",,","TSP ,,",22.00,22.00,22.00,27.00,27.00,27.00,27.00,27.00,27.00,27.00,27.14,27.14,25.77
110,",,","DAP ,,",17.00,17.00,17.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.31,21.33,20.05
111,",,","MP ,,",16.00,16.00,16.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.40,20.41,19.07
112,",,",Zinc LOCAL,147.22,153.93,150.24,149.85,159.36,170.55,165.18,170.03,163.88,167.99,175.88,179.16,162.77
113,",,",Zinc foreign,190.36,200.09,204.91,211.98,218.29,221.90,221.82,218.69,216.35,221.11,241.18,246.87,217.80
114,",,",Zipsum,29.09,28.71,25.10,25.58,22.51,21.09,21.11,21.48,21.34,21.23,21.70,21.33,23.36
115,"Organic
fertilizer",Cowdung 50 kg,14.21,10.79,7.65,7.68,7.34,7.06,7.06,7.06,6.95,6.95,7.69,8.00,8.20
116,"দুধ ও দুধজাত
দ্রব্য",গুড়া দুধ(প্যাকেটজাতকৃত),722.29,723.33,724.83,724.51,732.14,733.10,708.00,732.86,733.75,737.86,736.29,675.71,723.72
117,Cow Milk,liquid,72.32,72.53,74.11,78.00,78.00,78.00,80.00,80.00,90.00,90.00,223.13,223.13,103.27
118,Cow Milk,Milkvita,85.79,86.17,87.65,88.45,92.50,93.80,94.45,94.45,95.01,93.98,98.21,98.28,92.39
119,Gawa ghee,-,1692.95,1578.61,1708.18,1578.33,1748.00,1683.41,1754.23,1702.27,1855.36,1798.67,1903.83,1742.50,1728.86
120,Dano,--,1298.07,1287.45,1308.04,1198.21,1202.33,1210.78,1185.87,1198.83,1205.08,1192.34,1245.00,986.72,1209.89
121,Red cow,-,1168.59,1170.63,1170.63,1008.00,943.35,945.75,925.75,925.75,1042.75,1048.50,1173.50,783.54,1025.56
122,Cow milk,ankor,1700.00,1711.67,1685.00,1171.00,1168.60,1048.75,997.50,797.00,1128.00,1135.50,1114.90,815.00,1206.08
123,"Condensed
milk",One kartoon,79.40,81.65,84.34,84.67,88.91,91.75,93.28,94.11,94.57,96.09,98.07,99.85,90.56
124,"Hen/chicken-
Live",Local large(900gm+),432.24,526.48,503.12,541.41,563.04,552.50,526.48,497.35,497.29,492.88,486.08,483.95,508.57
125,",,",",, medium(700gm+)",430.97,520.62,495.54,533.08,557.47,541.34,520.62,502.91,497.64,495.85,489.23,484.36,505.80
