District/Division,None,Total,Forest,Not available for cultivation,Culturable waste,Current fallow,Single cropped,Double cropped,Triple cropped,Quardruple Cropped,Net cropped,Gross cropped
1,None,2,3,4,5,6,7,8,9,10,11,12
1,Bandarban,1107,798,109,106,16,39,28,11,0,78,128
2,Khagrachari,679,554,39,4,0,13,50,19,0,82,170
3,Rangamati,1511,1379,38,11,3,41,27,12,0,80,131
4,Chattogram,1305,426,410,30,16,75,253,95,0,423,866
5,Cox’s Bazar,616,209,154,14,5,65,138,31,0,234,434
6,Cumilla,777,2,202,9,55,124,277,108,0,509,1002
7,Chandpur,407,0,135,5,38,123,83,23,0,229,358
8,Brahmmanbaria,465,0,126,6,23,126,151,33,0,310,527
9,Noakhali,911,385,176,9,4,45,210,82,0,337,711
10,Lakshmipur,356,50,65,4,0,10,169,57,0,237,521
11,Feni,245,20,88,2,2,10,89,34,0,133,289
1,Chattogram Division,8379,3823,1542,200,162,671,1475,505,0,2652,5137
12,Sylhet,853,50,264,43,10,256,172,58,0,486,774
13,Moulavibazar,692,71,185,33,16,189,148,50,0,387,635
14,Sunamganj,926,18,298,46,20,340,139,65,0,544,813
15,Habiganj,651,36,203,22,14,112,201,63,0,376,703
2,Sylhet Division,3122,175,950,144,60,897,660,236,0,1793,2925
16,Dhaka,362,1,176,10,22,88,52,13,0,153,231
17,Gazipur,446,65,164,13,3,96,81,24,0,201,330
18,Manikganj,342,0,111,8,51,32,87,51,2,172,367
19,Munshiganj,248,0,83,5,36,35,72,17,0,124,230
20,Narayanganj,169,0,70,5,24,35,22,13,0,70,118
21,Narsingdi,284,0,97,1,46,38,71,29,2,140,275
22,Faridpur,507,0,105,42,1,51,204,104,0,359,771
23,Rajbari,270,0,34,14,1,38,117,65,1,221,471
24,Madaripur,278,0,47,4,43,57,94,33,0,184,344
25,Gopalganj,363,0,117,9,6,55,130,45,0,231,451
26,Shariatpur,290,0,110,6,6,62,75,31,0,168,305
27,Tangail,844,123,158,23,64,145,229,102,0,476,909
28,Kishoerganj,664,0,191,21,11,198,191,52,0,441,736
3,Dhaka Division,5067,189,1463,161,314,930,1425,579,5,2940,5538
29,Mymensinghh,1086,39,296,9,18,114,455,152,3,724,1492
30,Jamalpur,523,10,120,10,4,56,220,100,3,379,808
31,Sherpur,337,20,67,3,8,30,160,45,4,239,501
32,Netrokona,690,2,181,33,34,142,232,65,1,440,805
4,Mymensingh Division,2636,71,664,55,64,343,1067,362,11,1782,3606
33,Barishal,688,0,221,7,0,271,154,35,0,460,684
34,Jhalokathi,175,0,44,0,6,30,66,29,0,125,249
35,Perojpur,316,1,110,3,6,111,59,26,0,196,307
36,Bhola,841,360,51,4,18,99,169,140,0,409,857
37,Patuakhali,796,150,154,11,86,257,117,21,0,395,554
38,Barguna,453,75,36,6,90,161,53,32,0,246,363
5,BarishalDivision,3269,586,616,31,206,929,618,283,0,1830,3018
39,Jashore,644,0,177,8,50,20,249,139,1,409,939
1,None,2,3,4,5,6,7,8,9,10,11,12
40,Jhenaidah,486,0,135,0,1,22,215,113,0,350,791
41,Magura,257,0,70,9,11,5,93,68,1,167,399
42,Narail,239,0,71,3,11,6,89,58,1,154,362
43,Khulna,1086,546,194,12,37,184,84,29,0,297,439
44,Bagerhat,978,567,86,15,42,172,65,29,2,268,397
45,Satkhira,943,370,136,18,69,213,107,30,0,350,517
46,Kushtia,398,0,106,9,3,17,126,137,0,280,680
47,Chuadanga,290,0,80,4,11,3,64,127,1,195,516
48,Meherpur,186,0,64,1,0,3,23,97,2,125,348
6,Khulna Division,5507,1483,1115,79,235,645,1115,827,8,2595,5388
49,Rajshahi,599,0,120,4,4,104,237,126,4,471,972
50,Naogoan,849,7,129,5,82,144,325,155,2,626,1267
51,Natore,470,0,105,5,5,65,210,80,0,355,725
52,Chapai Nawbganj,421,0,106,5,24,64,161,61,0,286,569
53,Bogura,716,0,188,2,2,7,293,220,4,524,1269
54,Joypurhat,250,0,40,0,0,4,119,87,0,210,503
55,Pabna,587,0,201,5,9,33,233,105,1,372,818
56,Sirajganj,594,0,215,2,2,11,248,115,1,375,856
7,RajshahiDivision,4486,7,1104,28,128,432,1826,949,12,3219,6979
57,Rangpur,593,3,115,5,5,19,300,143,3,465,1060
58,Gaibandah,523,0,136,3,2,56,249,77,0,382,785
59,Kurigram,555,0,203,9,4,35,236,66,2,339,713
60,Nilphamari,382,1,87,4,1,5,194,89,1,289,664
61,Lalmonirhat,308,0,90,1,2,7,135,72,1,215,497
62,Dinajpur,851,18,154,2,1,48,407,218,3,676,1528
63,Thakurgaon,440,2,46,3,2,7,266,113,1,387,882
64,Panchagarh,347,5,73,2,2,26,167,72,0,265,576
8,RangpurDivision,3999,29,904,29,19,203,1954,850,11,3018,6705
BANGLADESH,None,36465,6363,8358,727,1188,5049,10140,4593,47,19829,39296
