Type of Fishing,Number of Craft (Trawler/ Boat),Number of Unit (Gear/Net),Catch in Metric Ton,None,None_1,None_2,None_3
,,,Shrimp,Hilsa,"Tuna & Tuna
Like Fish","Other
Fish",Total
"A. INDUSTRIAL
Trawl Fishing
a) Shrimp Trawler
b) Fish Trawler","33
199","99
597","2022
948","0
8138","0
5597","2650
126682","4672
141365"
TOTAL INDUSTRIAL (A),232,696,2970,8138,5597,129332,146037
"B. ARTISANAL
1. Gill Net Fishing
a) Gill Net/ Trammel Net
upto 1000 (m)
b) Gill Net/ Trammel Net >
1000 (m)","11909
14083","16522
15759","0
0","78340
187524","1802
6462","91602
38156","171744
232142"
SUB TOTAL,25992,32281,0,265864,8264,129758,403886
2. Set Bag Net Fishing,2932,23728,23876,1753,544,44344,70517
3. Long Line Fishing,93,554,0,0,646,2547,3193
4. Other Gears/ Traps Fishing,341,2003,19917,24257,0,11578,55752
TOTAL ARTISANAL (B),29358,58566,43793,291874,9454,188227,533348
GRAND TOTAL (A+B),29590,59262,46763,300012,15051,317559,679385
