col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Lalmonirhat,6.5,7.25,53,3.84,10.34,1570.63,14.58
Bangladesh,6.5,7.25,53,3.84,10.34,1570.63,16.24031
