Sl. No.,Species,Lower Meghna,Upper Meghna,Lower Padma,Upper Padma,Jamuna,Brahma- Putra,Total Principal River,Other River,Total,%
1,Rui,670,318,267,258,165,232,1910,2194,4104,1.05
2,Catla,433,179,165,172,131,189,1269,1357,2626,0.67
3,Mrigal,383,145,135,73,119,165,1020,880,1900,0.49
4,Kalibaus,21,60,83,52,66,128,410,474,884,0.23
5,Bata,3001,78,0,0,10,0,3089,440,3529,0.91
6,Ghania,0,21,0,0,0,0,21,48,69,0.02
7,Pangas,1537,81,80,226,0,0,1924,199,2123,0.54
8,Boal/Ayre,1456,277,356,238,287,485,3099,1403,4502,1.16
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,1160,1160,0.30
10,Koi,0,0,0,0,0,0,0,194,194,0.05
11,Shingi/Magur,0,0,0,0,0,0,0,128,128,0.03
12,Sarpunti,59,31,173,0,0,0,263,125,388,0.10
13,Cuchia,0,0,0,0,0,0,0,2628,2628,0.67
14,Other Inland Fish,12476,5810,4564,5489,5008,5373,"3872
0",37266,75986,19.53
15,Hilsa/Ilish,202396,1052,5910,567,581,316,210822,60063,270885,69.63
16,Galda,1367,184,125,28,39,85,1828,395,2223,0.57
17,Bagda,0,0,0,0,0,0,0,71,71,0.02
18,Harina,0,0,0,0,0,0,0,3332,3332,0.86
19,Chaka,0,0,0,0,0,0,0,21,21,0.01
20,"Other small
shrimp/prawn",1603,347,298,231,462,928,3869,8413,12282,3.16
TOTAL,None,193793,225402,8583,12156,7334,6868,7901,268244,120791,389035
