District_Division,2022-23_Area_Acres,2022-23_Hectors,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2022-23_Production_MT,2023-24_Area_Acres,2023-24_Hectors,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,2023-24_Production_MT
Barguna,18940,7665,35.81,3.303,25317,24780,10028,36.20,3.339,33484
Barishal,61319,24826,40.71,3.753,93180,69949,28319,40.59,3.742,105981
Bhola,90463,36610,45.16,4.165,152494,91411,36994,45.60,4.206,155593
Jhallokati,27897,11290,37.81,3.487,39372,25667,10387,38.10,3.514,36503
Patuakhali,3807,1541,36.71,3.386,5217,3901,1579,36.82,3.396,5362
Pirojpur,30443,12320,39.10,4.606,44432,32167,13018,39.85,3.676,47848
Barishal Division,232869,94251,41.42,3.820,360012,247875,100325,41.59,3.835,384771
Bandarban,8206,3321,37.71,3.478,11551,7510,3039,38.39,3.541,10762
Brahmanbaria,247878,100315,41.45,3.823,383522,248737,100662,42.08,3.881,390700
Chandpur,131968,53407,33.12,3.055,163149,129800,52529,34.19,3.154,165654
Chattogram,114196,46215,41.73,3.849,177880,116584,47181,41.69,3.845,181425
Cumilla,317418,128509,44.41,4.095,526186,323206,130853,43.87,4.045,529266
Cox’s Bazar,96899,39215,45.33,4.181,163958,98999,40064,44.43,4.098,164185
Feni,62347,25231,36.35,3.353,84596,64448,26082,36.23,3.342,87158
Khagrachari,17113,6926,40.44,3.730,25833,17182,6953,40.97,3.779,26276
Lakshmipur,46303,18746,35.93,3.313,62100,45436,18395,36.10,3.328,61226
Noakhali,33476,13548,48.78,4.499,60954,32541,13169,49.16,4.534,59713
Rangamati,9420,3812,42.51,3.921,14947,9553,3866,43.51,4.013,15515
Chattogram Division,1085225,439244,41.34,3.813,1674677,1093996,442795,41.43,3.821,1691881
Dhaka,104232,42182,50.01,4.613,194574,103217,41771,50.53,4.661,194683
Faridpur,48632,19681,50.44,4.652,91564,48212,19511,51.24,4.726,92213
Gazipur,116217,47051,46.59,4.296,202111,115869,46892,47.22,4.355,204230
Gopalganj,58829,23817,53.10,4.896,116604,57697,23350,54.08,4.988,116471
Kishoreganj,303377,122775,44.02,4.060,498494,299401,121166,44.50,4.104,497325
Madaripur,65790,26625,46.46,4.285,114095,65018,26612,45.85,4.229,111276
Manikganj,110680,44792,54.20,4.999,223921,107986,43701,54.15,4.995,218270
Munshiganj,53128,21501,44.73,4.158,88705,53048,21468,44.03,4.061,87186
Narayanganj,46702,18900,44.32,4.088,77261,46316,18744,46.02,4.245,79562
Narsingdi,128878,52177,41.10,3.789,197718,127438,51573,41.17,3.834,195843
Rajbari,26496,10723,48.81,4.502,48274,26576,10755,48.10,4.437,47716
Shariatpur,53980,21845,48.54,4.477,97805,50658,20501,49.02,4.521,92693
Tangail,354805,143588,46.72,4.309,618757,354548,143484,47.04,4.339,622543
Dhaka Division,1471745,595657,46.78,4.314,2569883,1455984,589229,47.10,4.345,2560010
Bagerhat,20560,8321,41.43,3.821,31795,19538,7907,41.15,3.796,30011
Chuadanga,85159,34463,44.37,4.093,141042,84985,34393,44.25,4.081,140373
Jashore,323499,130918,48.92,4.512,590727,320137,129558,48.82,4.503,583393
Jhenaidah,198587,80400,46.03,4.244,341208,199086,80569,46.82,4.318,347936
Khulna,56097,22711,38.86,3.583,81371,50204,20317,41.50,3.828,77770
Kushtia,75181,30425,44.71,4.124,125470,74179,30020,46.59,4.297,129003
Magura,69576,28168,42.78,3.944,111103,70127,28380,42.78,3.946,111983
Meherpur,39417,15952,42.22,3.894,62120,39369,15932,44.15,4.072,64880
Narail,55771,22570,46.71,4.308,97240,55972,22652,47.10,4.344,98405
Satkhira,140901,57022,40.97,3.779,215480,138874,56202,41.25,3.805,213832
Khulna Division,1064748,430951,45.23,4.171,1797556,1052471,425929,45.76,4.220,1797587
Jamalpur,191941,77677,40.62,3.747,291028,192196,77781,42.81,3.949,307126
Mymensingh,494550,200142,42.10,4.110,777176,463748,187676,42.44,3.914,734657
Netrokona,340292,137714,45.06,4.156,572361,329183,133219,45.13,4.163,554536
Sherpur,92024,37242,45.73,4.218,157083,81123,32830,44.25,4.081,133994
Mymensingh Division,1118807,452775,43.04,3.970,1797649,1066250,431505,43.47,4.010,1730313
Bogura,419810,169895,44.40,4.095,695766,417925,169132,45.14,4.164,704186
Joypurhat,149992,60701,40.22,3.710,225184,154201,62404,41.04,3.785,236223
Naogaon,434491,175836,48.93,4.513,793566,438841,177597,48.63,4.485,796597
Natore,139347,56393,48.60,4.483,252791,136293,55157,48.80,4.501,248268
Chapai Nawabganj,121982,49385,49.90,4.601,227208,118509,47960,48.04,4.431,212511
Pabna,129864,52555,46.15,4.257,223711,127455,51580,49.36,4.553,234833
Rajshahi,150625,60957,48.93,4.513,275106,154334,62458,47.97,4.425,276349
Sirajganj,303175,122693,49.13,4.532,555991,302554,122442,50.44,4.652,569646
Rajshahi Division,1849286,748416,47.07,4.342,3249322,1850112,748730,47.47,4.379,3278614
Dinajpur,365839,148053,45.00,4.151,614511,367077,148554,44.49,4.104,609603
Gaibandha,205171,83032,42.10,3.883,322423,199682,80810,43.51,4.013,324306
Kurigram,147296,59634,44.85,4.135,246593,155671,62999,43.49,4.011,252711
Lalmonirhat,50201,20316,43.13,3.978,80820,51532,20855,44.14,4.071,84906
Nilphamari,92204,37314,43.25,3.989,148855,89026,36028,43.11,3.976,143259
Panchagar,59955,24263,45.78,4.223,102454,58724,23765,46.91,4.327,102827
Rangpur,202583,81984,44.65,4.118,337638,201584,81580,45.69,4.214,343799
Thakurgaon,122875,49727,41.43,3.821,190023,122910,49741,41.79,3.855,191729
Rangpur Divison,1246124,504324,43.93,4.052,2043317,1246206,504333,44.14,4.071,2053140
Habiganj,179631,72696,44.48,4.103,298245,172044,69625,45.47,4.194,292006
Moulvibazar,133784,54142,52.61,4.853,262723,126155,51054,52.71,4.862,248213
Sunamganj,395365,160002,47.52,4.383,701297,390564,158059,47.35,4.367,690303
Sylhet,165909,67142,37.15,3.427,230068,162056,65583,38.09,3.513,230411
Sylhet Division,874689,353982,45.71,4.216,1492333,850819,344322,46.00,4.243,1460933
Bangladesh,8943493,3619599,44.89,4.140,14984750,8863713,3587167,45.21,4.170,14957248
