Variety,2022-23_Production_MT,2023-24_Production_MT,Percentage_Change
Broadcast,240642,263321,9.42
Local Transplant (L.T.),1130454,1001602,-11.4
High Yielding Variety (HYV),14055299,14228516,1.23
Hybrid,0,1162824,0
Total (Broadcast+ L.T.+ HYV+Hybrid),15426395,16656263,7.97
