District_Division,2022-23_Area_Acres,2022-23_Hectors,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2022-23_Production_MT,2023-24_Area_Acres,2023-24_Hectors,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,2023-24_Production_MT
Barguna,237570,96164,24.44,2.254,216769,233055,94316,25.95,2.394,225756
Barishal,289636,117234,22.23,2.05,240372,285074,115368,24.63,2.272,262079
Bhola,400988,162335,30.69,2.829,459308,417441,168936,32.34,2.983,503897
Jhallokati,114470,46330,23.13,2.133,98815,111489,45119,23.93,2.208,99603
Patuakhali,463738,187714,22.51,2.076,389671,465365,188331,25.01,2.307,434422
Pirojpur,151716,61402,17.23,1.59,97603,148931,60272,19.81,1.827,110111
Barishal Division,1658118,671180,24.28,2.239,1502538,1661355,672341,26.38,2.433,1635869
Bandarban,25564,10350,30.84,2.843,29428,25953,10503,32.56,3.003,31546
Brahmanbaria,156514,63360,29.33,2.704,171344,178007,72039,28.6,2.638,190038
Chandpur,104179,42161,19,1.752,73872,104001,42089,24.12,2.225,93646
Chattogram,438057,177341,27.79,2.563,454439,439574,177893,31.58,2.913,518250
Cumilla,322108,130401,26.95,2.485,324040,317209,128373,30.86,2.847,365438
Cox’s Bazar,183778,74403,31.52,2.906,216224,185551,75092,33.7,3.108,233416
Feni,163014,65995,32.94,3.037,200407,163406,66130,33.68,3.107,205436
Khagrachari,67706,27411,35.56,3.279,89872,67710,27402,35.94,3.315,90838
Lakshmipur,187771,76018,29.35,2.706,205715,187858,76025,31,2.859,217373
Noakhali,394742,159801,29.43,2.714,433644,395487,160051,29.93,2.761,441874
Rangamati,24096,9755,31.53,2.907,28356,23819,9639,32.17,2.967,28602
Chattogram Division,2067528,836995,28.86,2.661,2227341,2088575,845235,31,2.859,2416455
Dhaka,19716,7980,19.12,1.763,14072,19706,7975,20.48,1.889,15065
Faridpur,199851,80906,30.65,2.826,228663,200658,81205,32.61,3.008,244276
Gazipur,108581,43958,27.24,2.512,110417,103013,41689,31.91,2.943,122702
Gopalganj,54636,22115,19.36,1.786,39488,61544,24907,23.86,2.201,54812
Kishoreganj,191379,77480,32.04,2.954,228851,179444,72620,33.91,3.128,227134
Madaripur,61800,25014,22.64,2.088,52219,65714,26594,24.5,2.26,60105
Manikganj,89077,36053,15.79,1.456,52506,89942,36399,16.78,1.548,56340
Munshiganj,47943,19402,11.37,1.048,20341,48509,19631,12.7,1.171,22990
Narayanganj,15278,6184,17.01,1.569,9700,14009,5670,17.99,1.659,9406
Narsingdi,94209,38139,29.19,2.691,102648,95854,38792,31.85,2.938,113961
Rajbari,114711,46440,28.29,2.608,121113,124202,50264,33.13,3.056,153592
Shariatpur,33178,13428,17.43,1.608,21590,36074,14599,19.94,1.839,26850
Tangail,280262,113452,24.98,2.303,261291,294897,79374,27.06,2.496,297873
Dhaka Division,1310621,530552,25.81,2.38,1262899,1333566,539687,28.23,2.604,1405107
Bagerhat,151514,61330,25.26,2.33,142871,167981,67981,27.27,2.515,170959
Chuadanga,82299,33319,32.18,2.967,98857,89260,36123,34.14,3.149,113752
Jashore,346394,140240,31.41,2.896,406070,343202,138892,32.82,3.027,420397
Jhenaidah,255067,103266,36.35,3.351,346087,255165,103264,37.44,3.453,356574
Khulna,241281,97674,28.27,2.606,254569,238629,96572,30.55,2.818,272108
Kushtia,216289,87566,33.57,3.095,271055,216391,87572,35.2,3.247,284346
Magura,151884,61491,29.79,2.747,168913,152771,61826,32.46,2.994,185077
