Variety,2022-23_Area_acres,2022-23_Area_Hectors,2023-24_Area_acres,2023-24_Area_Hectors,Percentage_Change
Broadcast,541716,219264,561046,227052,3.55
Local Transplant (L.T.),1695485,686164,1446532,585411,-14.68
High Yielding Variety (HYV),11906085,4819394,11415381,4619742,-4.14
Hybrid,0,0,787137,318550,0
Total (Broadcast+ L.T.+ HYV+Hybrid),14143347,5724822,14210095,5750755,0.453
