District_Division,2022-23_Area_Acres,2022-23_Hectors,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2022-23_Production_MT,2023-24_Area_Acres,2023-24_Hectors,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,2023-24_Production_MT
Barguna,0,0,0,0,0,40,16,12.7,1.171,19
Barishal,1413,572,11.07,1.021,584,774,313,11.5,1.061,332
Bhola,0,0,0,0,0,0,0,0,0,0
Jhalokathi,0,0,0,0,0,0,0,0,0,0
Patuakhali,0,0,0,0,0,0,0,0,0,0
Pirojpur,5362,2170,13.01,1.2,2604,4785,1936,13.5,1.245,2411
Barishal Division,6775,2742,12.61,1.163,3188,5599,2266,13.22,1.219,2762
Bandarban,0,0,0,0,0,0,0,0,0,0
Brahmanbaria,22421,9074,14.75,1.36,12345,46090,18652,17.2,1.586,29591
Chandpur,36467,14758,9.72,0.897,13231,29802,12061,10.79,0.995,12003
Chattogram,0,0,0,0,0,26847,10865,14.26,1.315,14290
Cumilla,20221,8183,12.27,1.132,9261,15133,6124,13.35,1.231,7541
Cox�s Bazar,0,0,0,0,0,0,0,0,0,0
Feni,0,0,0,0,0,0,0,0,0,0
Khagrachhari,0,0,0,0,0,0,0,0,0,0
Lakshmipur,0,0,0,0,0,1498,606,13,1.199,727
Noakhali,0,0,0,0,0,0,0,0,0,0
Rangamati,0,0,0,0,0,0,0,0,0,0
Chattogram Division,79109,32015,11.8,1.088,34837,119371,48309,14.4,1.328,64153
Dhaka,9126,3693,12.98,1.197,4422,9776,3956,13.2,1.218,4817
Faridpur,29281,11850,11.05,1.019,12077,22833,9240,11.3,1.042,9631
Gazipur,3950,1599,12.98,1.197,1914,122,49,13.35,1.231,61
Gopalganj,19641,7949,11.25,1.038,8248,20057,8117,11.4,1.051,8535
Kishoreganj,0,0,0,0,0,0,0,0,0,0
Madaripur,19075,7720,15.25,1.407,10858,23816,9638,15.55,1.434,13824
Manikganj,65012,26310,10.11,0.933,24534,63544,25716,10.3,0.95,24431
Munshiganj,44029,17818,9.91,0.914,16287,42958,17385,10.1,0.932,16195
Narayanganj,9540,3861,11.36,1.048,4045,8386,3394,11.5,1.061,3600
Narsingdi,0,0,0,0,0,0,0,0,0,0
Rajbari,5907,2391,11,1.015,2425,1926,779,11.2,1.033,805
Shariatpur,18735,7582,13.21,1.218,9238,18381,7439,13.35,1.231,9160
Tangail,44563,18034,8.02,0.74,13341,52091,21081,8.15,0.752,15847
Dhaka Division,268859,108806,10.7,0.987,107390,263890,106795,10.85,1.001,106905
Bagerhat,170,69,13.77,1.27,87,269,109,14.05,1.296,141
Chuadanga,0,0,0,0,0,0,0,0,0,0
Jessore,0,0,0,0,0,0,0,0,0,0
Jhenaidah,0,0,0,0,0,0,0,0,0,0
Khulna,15678,6345,11,1.015,6437,15444,6250,12.68,1.17,7310
Kushtia,0,0,0,0,0,0,0,0,0,0
Magura,960,389,12.26,1.131,439,708,287,13.65,1.259,361
Meherpur,0,0,0,0,0,0,0,0,0,0
Narail,8183,3312,11.43,1.054,3491,8372,3388,12.73,1.174,3978
Satkhira,0,0,0,0,0,0,0,0,0,0
Khulna Division,24991,10114,11.21,1.034,10455,24793,10034,12.74,1.175,11790
Jamalpur,0,0,0,0,0,0,0,0,0,0
Mymensinghh,0,0,0,0,0,0,0,0,0,0
Netrokona,0,0,0,0,0,0,0,0,0,0
Sherpur,0,0,0,0,0,0,0,0,0,0
Mymensinghh Division,0,0,0,0,0,0,0,0,0,0
Bogura,0,0,0,0,0,0,0,0,0,0
Joypurhat,0,0,0,0,0,0,0,0,0,0
Naogaon,3350,1356,14.22,1.312,1778,1004,406,14.47,1.335,542
Natore,34136,13820,15.2,1.401,19368,32405,13114,15.44,1.424,18676
Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0
Pabna,81605,33025,13.27,1.224,40422,78636,31824,13.4,1.236,39333
Rajshahi,0,0,0,0,0,0,0,0,0,0
Sirajganj,30493,12345,14.8,1.365,16846,26404,10686,14.7,1.356,14488
Rajshahi Division,149584,60546,14.04,1.295,78414,138449,56030,14.13,1.304,73039
Dinajpur,0,0,0,0,0,0,0,0,0,0
Gaibandha,0,0,0,0,0,0,0,0,0,0
Kurigram,0,0,0,0,0,0,0,0,0,0
Lalmonirhat,0,0,0,0,0,0,0,0,0,0
Nilphamari,0,0,0,0,0,0,0,0,0,0
Panchagarh,0,0,0,0,0,0,0,0,0,0
Rangpur,0,0,0,0,0,0,0,0,0,0
Thakurgaon,0,0,0,0,0,0,0,0,0,0
Rangpur Divison,0,0,0,0,0,0,0,0,0,0
Habiganj,8485,3434,13.02,1.201,4124,6913,2797,13.64,1.258,3519
Maulvibazar,478,193,14.2,1.31,253,353,143,14,1.291,185
Sunamganj,15,6,13.5,1.245,8,6,2,13.6,1.254,3
Sylhet,3480,1408,15.2,1.402,1974,1672,677,15.44,1.424,964
Sylhet Division,12458,5042,13.67,1.261,6359,8944,3620,13.5,1.29,4671
Bangladesh,541716,219264,11.9,1.097,240642,561046,227052,12.57,1.16,263321
