District_Division,2022-23_Area_Acres,2022-23_Hectors,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2022-23_Production_MT,2023-24_Area_Acres,2023-24_Hectors,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,2023-24_Production_MT
Barguna,0,0,0,0,0,40,16,39,3.597,58
Barishal,0,0,0,0,0,0,0,0,0,0
Bhola,0,0,0,0,0,161,65,38.4,3.542,231
Jhalokathi,0,0,0,0,0,0,0,0,0,0
Patuakhali,0,0,0,0,0,190,77,39,3.597,277
Pirojpur,0,0,0,0,0,1260,510,39,3.597,1834
Barishal Division,0,0,0,0,0,1651,668,38.4,3.592,2399
Bandarban,0,0,0,0,0,2314,936,39.93,3.683,3449
Brahmanbaria,0,0,0,0,0,1477,598,40.58,3.743,2237
Chandpur,0,0,0,0,0,2209,894,38.72,3.571,3192
Chattogram,0,0,0,0,0,17684,7157,40.55,3.74,26767
Cumilla,0,0,0,0,0,7740,3132,40.42,3.728,11678
Cox�s Bazar,0,0,0,0,0,11589,4690,40.8,3.763,17649
Feni,0,0,0,0,0,109,44,40.35,3.722,164
Khagrachhari,0,0,0,0,0,148,60,39,3.597,216
Lakshmipur,0,0,0,0,0,3265,1321,39.47,3.641,4810
Noakhali,0,0,0,0,0,12,5,39.2,3.616,18
Rangamati,0,0,0,0,0,0,0,0,0,0
Chattogram Division,0,0,0,0,0,46547,18837,40.39,3.726,70181
Dhaka,0,0,0,0,0,47,19,39,3.597,68
Faridpur,0,0,0,0,0,11206,4535,39.52,3.645,16531
Gazipur,0,0,0,0,0,1843,746,39.38,3.632,2709
Gopalganj,0,0,0,0,0,6276,2540,38.61,3.561,9045
Kishoreganj,0,0,0,0,0,17443,7059,39.34,3.629,25614
Madaripur,0,0,0,0,0,794,321,40.5,3.736,1200
Manikganj,0,0,0,0,0,265,107,41.1,3.791,407
Munsigonj,0,0,0,0,0,265,107,40.5,3.736,401
Narayanganj,0,0,0,0,0,0,0,0,0,0
Narsingdi,0,0,0,0,0,2247,909,40.83,3.766,3425
Rajbari,0,0,0,0,0,19999,8093,40.8,3.763,30458
Shariatpur,0,0,0,0,0,89,36,38.53,3.554,128
Tangail,0,0,0,0,0,16000,6475,41.1,3.791,24546
Dhaka Division,0,0,0,0,0,76474,30949,40.12,3.701,114532
Bagerhat,0,0,0,0,0,11724,4745,39.66,3.658,17356
Chuadanga,0,0,0,0,0,12422,5027,40.58,3.743,18816
Jessore,0,0,0,0,0,21868,8850,38.85,3.583,31712
Jhenaidah,0,0,0,0,0,19507,7894,40.3,3.717,29344
Khulna,0,0,0,0,0,7142,2890,39.88,3.678,10632
Kushtia,0,0,0,0,0,36010,14573,41.2,3.8,55379
Magura,0,0,0,0,0,28108,11375,37.45,3.454,39292
Meherpur,0,0,0,0,0,2737,1108,39.5,3.643,4036
Narail,0,0,0,0,0,19662,7957,39.5,3.643,28990
Satkhira,0,0,0,0,0,11007,4454,38.5,3.551,15818
Khulna Division,0,0,0,0,0,170187,68874,39.57,3.65,251376
Jamalpur,0,0,0,0,0,80776,32690,38.94,3.592,117410
Mymensinghh,0,0,0,0,0,45381,18365,39.2,3.616,66403
Netrokona,0,0,0,0,0,41728,16887,39.63,3.655,61728
Sherpur,0,0,0,0,0,14100,5706,38.4,3.542,20211
Mymensinghh Division,0,0,0,0,0,181985,73648,39.12,3.608,265751
Bogura,0,0,0,0,0,19102,7730,38.77,3.576,27644
Joypurhat,0,0,0,0,0,9833,3979,39.2,3.616,14388
Naogaon,0,0,0,0,0,1628,659,40.2,3.708,2443
Natore,0,0,0,0,0,12222,4946,39.35,3.629,17952
Chapai Nawabganj,0,0,0,0,0,603,244,40.5,3.736,912
Pabna,0,0,0,0,0,13165,5328,40,3.689,19657
Rajshahi,0,0,0,0,0,1072,434,40.2,3.708,1609
Sirajganj,0,0,0,0,0,4211,1704,38.25,3.528,6012
Rajshahi Division,0,0,0,0,0,61836,25025,39.26,3.621,90617
Dinajpur,0,0,0,0,0,19076,7720,40.2,3.708,28625
Gaibandha,0,0,0,0,0,4960,2007,39.5,3.643,7313
Kurigram,0,0,0,0,0,33879,13711,39,3.597,49320
Lalmonirhat,0,0,0,0,0,21632,8754,38.94,3.592,31443
Nilphamari,0,0,0,0,0,57209,23152,39.62,3.654,84607
Panchagarh,0,0,0,0,0,34955,14146,40,3.689,52191
Rangpur,0,0,0,0,0,61228,24779,40,3.689,91419
Thakurgaon,0,0,0,0,0,14560,5892,39.85,3.676,21658
Rangpur Division,0,0,0,0,0,247499,100161,39.68,3.66,366576
Habiganj,0,0,0,0,0,48,19,39.15,3.611,70
Maulvibazar,0,0,0,0,0,257,104,39.1,3.606,375
Sunamganj,0,0,0,0,0,317,128,39.5,3.643,467
Sylhet,0,0,0,0,0,336,136,38.27,3.53,480
Sylhet Division,0,0,0,0,0,958,388,38.94,3.592,1393
Bangladesh,0,0,0,0,0,787137,318550,39.58,3.65,1162824
