District,Year,Hectares,Production_MT
Bhola,2022-23,297.0,106.0
Jhallokati,2022-23,0.0,0.0
Patuakhali,2022-23,5.46,7.82
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,7.15,0.0
Brahmanbaria,2022-23,34.43,27.75
Chandpur,2022-23,91.62,22.56
Chattogram,2022-23,172.27,51.01
Cumilla,2022-23,27.34,33.1
Cox’s Bazar,2022-23,10.28,7.33
Feni,2022-23,0.72,0.28
Khagrachari,2022-23,22.34,11.8
Lakshmipur,2022-23,15.6,6.5
Noakhali,2022-23,98.6,21.0
Rangamati,2022-23,0.0,0.0
Dhaka,2022-23,3049.6,383.49
Faridpur,2022-23,60.1,35.0
Gazipur,2022-23,211.9,52.9
Gopalganj,2022-23,0.0,0.0
Kishoreganj,2022-23,136.1,46.69
Madaripur,2022-23,0.0,0.0
Manikganj,2022-23,10994.2,1729.98
Munshiganj,2022-23,0.0,0.0
Narayanganj,2022-23,17.6,11.7
Narsingdi,2022-23,1.75,1.12
Rajbari,2022-23,242.0,72.0
Shariatpur,2022-23,68.0,9.0
Tangail,2022-23,291.3,125.01
Bagerhat,2022-23,89.36,38.39
Chuadanga,2022-23,279.36,77.88
Jashore,2022-23,512.07,136.0
Jhenaidah,2022-23,224.0,67.0
Khulna,2022-23,41.03,24.12
Kushtia,2022-23,314.0,103.0
Magura,2022-23,87.84,27.88
Meherpur,2022-23,189.45,39.0
Narail,2022-23,69.52,30.0
Satkhira,2022-23,366.08,99.13
Jamalpur,2022-23,1216.0,287.0
Mymensingh,2022-23,996.0,275.0
Netrokona,2022-23,0.0,0.0
Sherpur,2022-23,612.0,161.0
Bogura,2022-23,971.92,165.37
Joypurhat,2022-23,213.31,50.05
Naogaon,2022-23,339.58,96.12
Natore,2022-23,437.18,70.04
Chapai Nawabganj,2022-23,0.0,2.5
Pabna,2022-23,3808.0,507.0
Rajshahi,2022-23,485.19,105.14
Sirajganj,2022-23,275.43,59.5
Dinajpur,2022-23,364.59,175.0
Gaibandha,2022-23,389.79,147.71
Kurigram,2022-23,204.7,103.26
Lalmonirhat,2022-23,388.2,100.25
Nilphamari,2022-23,442.52,131.31
Panchagar,2022-23,684.57,200.0
Rangpur,2022-23,594.0,220.0
Thakurgaon,2022-23,365.78,91.9
Habiganj,2022-23,0.0,0.0
Moulvibazar,2022-23,30.0,12.0
Sunamganj,2022-23,39.0,23.0
Sylhet,2022-23,219.94,58.0
