District,Year,Hectares,Production_MT
Maulvibazar,2020-21,13.0,26.0
Sunamganj,2020-21,1583.0,2574.0
Sylhet,2020-21,38.0,15.2
Sylhet Division,2020-21,1642.0,2622.2
Bhola,2022-23,3655.39,4715.0
Jhalokathi,2022-23,90.0,138.0
Patuakhali,2022-23,608.0,1243.0
Pirojpur,2022-23,7.0,15.0
Bandarban,2022-23,150.05,222.4
Brahmanbaria,2022-23,223.44,327.5
Chandpur,2022-23,170.85,252.71
Chattogram,2022-23,1975.22,1982.62
Cumilla,2022-23,306.93,328.5
Cox’s Bazar,2022-23,804.47,630.79
Feni,2022-23,1386.9,1886.1
Khagrachhari,2022-23,140.21,131.72
Lakshmipur,2022-23,2765.05,4403.75
Noakhali,2022-23,12121.51,18031.5
Rangamati,2022-23,34.61,38.9
Dhaka,2022-23,178.65,243.25
Faridpur,2022-23,6071.5,5322.0
Gazipur,2022-23,11.42,35.33
Gopalganj,2022-23,1050.43,1257.85
Kishoreganj,2022-23,1499.34,1874.35
Madaripur,2022-23,224.52,292.96
Manikganj,2022-23,1469.32,1561.3
Munshiganj,2022-23,97.42,169.8
Narayanganj,2022-23,271.14,519.5
Narsingdi,2022-23,304.23,567.4
Rajbari,2022-23,490.0,435.0
Shariatpur,2022-23,703.0,650.0
Tangail,2022-23,1577.17,2806.5
Bagerhat,2022-23,30.0,39.0
Chuadanga,2022-23,25.97,43.0
Jessore,2022-23,9.0,15.65
Jhenaidah,2022-23,854.0,687.01
Khulna,2022-23,0.0,0.0
Kushtia,2022-23,307.0,579.0
Magura,2022-23,129.0,65.18
Meherpur,2022-23,26.0,36.5
Narail,2022-23,1017.0,1108.0
Satkhira,2022-23,0.0,0.0
Jamalpur,2022-23,680.0,827.0
Mymensinghh,2022-23,422.0,554.0
Netrokona,2022-23,308.0,333.0
Sherpur,2022-23,95.0,79.0
Bogura,2022-23,645.42,1340.45
Joypurhat,2022-23,0.0,0.0
Naogaon,2022-23,339.16,506.09
Natore,2022-23,1046.57,1170.42
