District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden (M.
Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,2878,2784.00,2787.00,1380,1337.09,1337.09,27272,27456.91,27540.91,28652,28794.00,28878.00
42,Mymensingh,1019,1081.00,"10818.0
0",2837,2565.51,2518.72,31332,33264.49,33458.28,34169,35830.00,35977.00
43,Netrokona,986,1038.00,3240.00,0,0.00,0.00,27458,27034.00,24122.00,27458,27034.00,24122.00
44,Sherpur,286,992.00,1300.00,815,828.61,967.03,11312,11614.39,10861.97,12127,12443.00,11829.00
Mymensingh Division,,5169,5895.00,18145.00,5032,4731.21,4822.84,97374,99369.79,95983.16,102406,104101.00,100806.00
45,Bogura,2169,2169.00,2155.00,2134,2955.82,3002.41,16591,26005.18,25829.59,18725,28961.00,28832.00
46,Joypurhat,231,257.00,203.00,380,428.40,221.28,2640,2981.60,2976.72,3020,3410.00,3198.00
47,Naogaon,591,532.00,502.00,839,726.66,778.16,11142,9588.34,10296.84,11981,10315.00,11075.00
48,Natore,1115,1573.00,1580.00,2545,"19315.4
3",1618.00,9471,3786.43,14175.00,12016,23101.86,15793.00
49,Chapai Nawabganj,722,729.00,1000.00,834,864.25,793.22,2215,2200.79,2022.78,3049,3065.04,2816.00
50,Pabna,1412,923.00,916.00,6541,5778.68,4609.54,22565,19958.32,20022.46,29106,25737.00,24632.00
51,Rajshahi,1130,1137.00,1111.00,2106,1888.60,1255.15,8702,8280.40,7883.85,10808,10169.00,9139.00
52,Sirajganj,366,380.00,396.00,3151,191.00,162.99,13794,15008.40,15406.01,16945,15199.40,15569.00
Rajshahi Division,,7736,7700.00,7863.00,18530,32148.84,12440.75,87120,87809.46,98613.25,105650,119958.30,111054.00
53,Dinajpur,2526,2492.00,2534.00,10382,10096.60,9471.98,25433,23779.40,22436.02,35815,33876.00,31908.00
54,Gaibandha,601,607.08,611.10,0,0.00,0.00,11610,12485.00,12493.90,11610,12485.00,12493.90
55,Kurigram,698,700.25,699.00,354,366.55,368.28,9230,9880.15,9916.72,9584,10246.70,10285.00
56,Lalmonirhat,1021,1023.16,1026.80,380,276.51,269.16,9743,7183.75,7186.89,10123,7460.26,7456.05
57,Nilphamari,1270,1129.43,1127.69,734,919.77,816.79,30211,27418.02,24823.21,30945,28337.79,25640.00
58,Panchagar,545,570.89,1572.25,1093,975.44,854.36,23032,24919.06,25118.44,24125,25894.50,25972.80
59,Rangpur,710,704.27,706.55,1629,1663.85,1685.42,15694,15585.36,15795.48,17323,17249.21,17480.90
60,Thakurgaon,985,3161.00,994.25,4007,4060.66,4089.89,5135,5148.26,5206.15,9142,9208.92,9296.04
Rangpur Divison,,8356,10388.08,9271.64,18579,18359.38,17555.88,130088,126399.00,122976.81,148667,144758.38,140532.69
61,Habiganj,947,949.70,10856.77,2642,2839.15,2806.25,21008,22224.99,21087.63,23650,25064.14,23893.88
62,Moulvibazar,987,1095.96,1102.78,3291,3273.29,3392.33,5420,7320.84,7623.72,8711,10594.13,11016.05
63,Sunamganj,1058,1063.00,1064.70,0,0.00,0.00,6197,6255.00,6553.00,6197,6255.00,6553.00
64,Sylhet,927,889.00,913.00,1295,1314.42,1815.97,4738,4927.58,7158.03,6033,6242.00,8974.00
Sylhet Division,,3919,3997.66,13937.25,7228,7426.86,8014.55,37363,40728.41,42422.38,44591,48155.27,50436.93
BANGLADESH,,69161,75842.04,112863.90,197530,208917.83,183366.94,852360,837044.85,841997.75,1049890,1062302.28,1025364.69
