District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of
Inside & Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,683,690.00,702.00,0,0.00,0.00,2762,2861.00,2916.00,2762,2861.00,2916.00
43,Netrokona,50,50.00,53.00,0,0.00,0.00,373,382.00,397.00,373,382.00,397.00
44,Sherpur,100,69.00,77.00,0,0.00,0.00,1802,2849.00,2127.00,1802,2849.00,2127.00
Mymensingh Division,,879,856.00,880.00,0,0.00,0.00,5345,6516.00,5872.00,5345,6516.00,5872.00
45,Bogura,255,243.55,230.74,0,0.00,0.00,7683,9406.00,9397.02,7683,9406.00,9397.02
46,Joypurhat,48,40.57,78.92,0,0.00,0.00,752,632.35,1081.87,752,632.35,1081.87
47,Naogaon,302,445.59,197.88,0,0.00,0.00,7026,8000.30,5674.39,7026,8000.30,5674.39
48,Natore,140,212.54,212.62,0,0.00,0.00,3668,3118.50,3915.53,3668,3118.50,3915.53
49,Chapai Nawabganj,180,138.29,108.04,0,0.00,0.00,925,1014.20,1028.35,925,1014.20,1028.35
50,Pabna,70,58.27,47.52,0,0.00,0.00,2617,2084.00,2289.86,2617,2084.00,2289.86
51,Rajshahi,512,353.79,375.64,0,0.00,0.00,4276,3671.80,2974.10,4276,3671.80,2974.10
52,Sirajganj,95,93.25,68.62,0,0.00,0.00,2058,2119.60,1590.01,2058,2119.60,1590.01
Rajshahi Division,,1602,1585.85,1319.98,0,0.00,0.00,29005,30046.75,27951.13,29005,30046.75,27951.13
53,Dinajpur,88,76.86,77.38,0,0.00,0.00,736,718.50,738.54,736,718.50,738.54
54,Gaibandha,23,22.06,20.14,0,0.00,0.00,263,265.96,271.85,263,265.96,271.85
55,Kurigram,11,8.88,8.76,0,0.00,0.00,91,83.79,83.63,91,83.79,83.63
56,Lalmonirhat,5,5.80,6.57,0,0.00,0.00,39,40.65,56.66,39,40.65,56.66
57,Nilphamari,4,4.87,4.85,0,0.00,0.00,76,76.26,80.50,76,76.26,80.50
58,Panchagar,5,5.17,5.65,0,0.00,0.00,89,89.15,93.71,89,89.15,93.71
59,Rangpur,22,23.87,25.23,0,0.00,0.00,437,450.02,452.56,437,450.02,452.56
60,Tahkurgaon,7,6.84,6.92,0,0.00,0.00,136,136.43,139.16,136,136.43,139.16
Rangpur Division,,165,154.35,155.50,0,0.00,0.00,1867,1860.76,1916.61,1867,1860.76,1916.61
61,Habigonj,152,163.03,148.17,0,0.00,0.00,288,450.12,427.74,288,450.12,427.74
62,Moulvibazar,40,31.65,30.61,0,0.00,0.00,281,262.31,267.60,281,262.31,267.60
63,Sunamganj,5,6.30,7.00,0,0.00,0.00,17,21.00,24.00,17,21.00,24.00
64,Sylhet,9,9.00,8.86,0,0.00,0.00,105,119.00,127.00,105,119.00,127.00
Sylhet Division,,206,209.98,194.64,0,0.00,0.00,691,852.43,846.34,691,852.43,846.34
BANGLADESH,,15766,13814.08,13397.26,1138,1124.94,612.65,143307,178962.66,141689.73,144445,188087.60,142302.38
