District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,183.44,147.12,147.12,0.00,0.00,0.00,53.68,53.98,52.10,5 3 . 6 8,53.98,53.98
2,Barishal,150.53,64.00,67.00,0.00,0.00,0.00,345.00,151.00,166.00,345.00,151.00,151.00
3,Bhola,36.48,36.42,36.42,0.00,0.00,0.00,132.30,122.10,114.00,132.30,122.10,122.10
4,Jhallokati,197.00,196.00,197.00,0.00,0.00,0.00,190.00,184.00,177.00,190.00,184.00,184.00
5,Patuakhali,104.00,72.00,66.63,0.00,0.00,0.00,105.00,93.00,113.00,105.00,93.00,93.00
6,Pirojpur,15.10,15.88,15.67,0.00,0.00,0.00,62.01,62.23,71.03,62.01,62.23,62.23
Barishal Division,None,686.55,531.42,529.84,0.00,0.00,0.00,887.99,666.31,693.63,887.99,666.31,666.31
7,Bandarban,140.00,139.80,31.80,27.88,28.31,28.50,186.12,186.69,187.53,214.00,215.00,216.03
8,Brahmanbaria,58.23,40.19,18.84,0.00,0.00,0.00,239.16,172.42,244.92,239.16,172.42,244.92
9,Chandpur,67.87,68.08,14.71,0.00,0.00,0.00,310.18,310.18,326.65,310.18,310.18,326.65
10,Chattogram,61.59,61.21,20.24,0.00,0.00,0.00,552.18,525.21,518.86,552.18,525.21,518.86
11,Cumilla,289.94,291.14,144.72,0.00,0.00,0.00,827.95,832.57,853.26,827.95,832.57,853.26
12,Cox’s Bazar,20.13,22.69,6.05,0.00,0.00,0.00,269.00,260.23,262.59,269.00,260.23,262.59
13,Feni,53.73,61.12,17.50,0.00,0.00,0.00,196.35,204.58,186.13,196.35,204.58,186.13
14,Khagrachari,76.21,76.40,29.59,0.00,0.00,0.00,240.24,264.62,267.19,240.24,264.62,267.19
15,Lakshmipur,152.00,167.27,29.59,0.00,0.00,0.00,433.00,408.00,410.00,433.00,408.00,410.00
16,Noakhali,37.22,37.48,15.69,0.00,0.00,0.00,256.94,265.08,266.34,256.94,265.08,266.34
