District/ Division,None,2022-23,None,None,None,None,None,None,2023-24,None,None,None,None,None,None
,,Area,,,,Yield Rate,,"Producti
on",Area,,,,Yield Rate,,"Productio
n"
,,Acres,,,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,,,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
,,,,,,,,,,,,,,,
42,Mymensingh,,,,,,,,0,,,0,0.00,0.000,0
43,Netrokona,,,,,,,,44,,,18,46.84,4.320,77
44,Sherpur,,,,,,,,57,,,23,36.25,3.120,77
"Mymensingh
Division",,0,,,0,0.00,0.000,0,368,,,149,39.37,3.631,541
45,Bogura,,,,,,,,2706,,,1095,43.25,3.560,4369
46,Joypurhat,,,,,,,,57,,,23,40.10,3.000,85
47,Naogaon,,,,,,,,,1093,,442,45.19,4.168,1844
48,Natore,,,,,,,,79,,,32,42.82,3.950,126
49,"Chapai
Nawabganj",,,,,,,,457,,,185,41.74,3.850,712
50,Pabna,,,,,,,,0,,,0,0.00,0.000,0
51,Rajshahi,,,,,,,,7095,,,2871,41.42,3.820,10969
52,Sirajganj,,,,,,,,0,,,0,0.00,0.000,0
Rajshahi Division,,0,,,0,0.00,0.000,0,11487,,,4649,42.23,3.895,18105
53,Dinajpur,,,,,,,,1816,,,735,39.57,3.650,2682
54,Gaibandha,,,,,,,,976,,,395,39.28,3.360,1431
55,Kurigram,,,,,,,,4378,,,1772,39.50,3.450,6455
56,Lalmonirhat,,,,,,,,8266,,,3345,39.79,3.670,12277
57,Nilphamari,,,,,,,,1025,,,415,39.25,3.620,1502
58,Panchagar,,,,,,,,1865,,,755,39.90,3.680,2777
59,Rangpur,,,,,,,,17467,,,7069,39.90,3.680,26013
60,Thakurgaon,,,,,,,,7376,,,2985,41.74,3.850,11492
Rangpur Divison,,0,,,0,0.00,0.000,0,43169,,,17470,40.11,3.699,64630
61,Habiganj,,,,,,,,0,,,0,0,0.000,0
62,Moulvibazar,,,,,,,,161,,,65,39.25,3.620,236
63,Sunamganj,,,,,,,,0,,,0,0.00,0.000,0
64,Sylhet,,,,,,,,79,,,32,39.4,3.080,116
Sylhet Division,,0,,,0,0.00,0.000,0,240,,,97,39.30,3.625,352
Bangladesh,,,,,0.00,0.00,0.00,0.00,130496,,,52811,40.50,3.736,197283
