District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden (M.
Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,10114,8125.70,8102.00,240,223.71,437.66,3585,7901.99,7664.34,3825,8125.70,8102.00
2,Barishal,10210,2413.00,2347.00,4,0.00,1.08,10996,7015.00,2347.00,11000,7015.00,2348.08
3,Bhola,606,466.64,572.00,0,0.00,10.34,2395,2174.60,572.00,2395,2174.60,582.34
4,Jhallokati,1988,2046.00,2046.00,79,82.53,89.80,1044,1190.47,1956.20,1123,1273.00,2046.00
5,Patuakhali,4939,4940.10,4979.00,0,0.00,0.00,4605,6589.22,4979.00,4605,6589.22,4979.00
6,Pirojpur,3849,3854.00,3876.00,378,372.62,378.79,4360,4381.33,3497.21,4738,4753.95,3876.00
Barishal Division,,31706,21845.44,21922.00,701,678.86,917.67,26985,29252.61,21015.75,27686,29931.47,21933.42
7,Bandarban,2850,2851.00,2860.50,1584,1614.58,1647.93,2180,2183.42,19822.57,3764,3798.00,21470.50
8,Brahmanbaria,2879,2535.77,2382.08,86,110.62,112.77,9959,10029.58,9819.38,10045,10140.20,9932.15
9,Chandpur,1118,1138.90,1138.98,0,0.00,0.00,10044,11164.00,24821.00,10044,11164.00,24821.00
10,Chattogram,2575,2576.68,3290.84,710,724.40,731.63,20404,20438.60,10446.07,21114,21163.00,11177.70
11,Cumilla,5895,6985.00,5985.00,0,0.00,0.00,23821,24821.00,10026.50,23821,24821.00,10026.50
12,Cox’s Bazar,1448,1449.93,1427.89,1141,1133.51,1273.40,8450,8581.02,824.13,9591,9714.53,2097.53
13,Feni,1592,1587.42,1580.66,1119,1127.32,1375.95,6551,2544.62,8523.05,7670,3671.94,9899.00
14,Khagrachari,4110,4986.60,5015.59,6533,6366.40,6807.20,3110,3066.07,3137.36,9643,9432.47,9944.56
15,Lakshmipur,1840,1323.90,1352.40,0,0.00,0.00,1831,1922.00,3837.30,1831,1922.00,3837.30
16,Noakhali,760,791.91,794.62,0,0.00,0.00,8703,8796.03,9944.56,8703,8796.03,9944.56
17,Rangamati,3754,3798.19,3839.31,3770,3657.69,3771.69,2481,2419.35,6563.51,6251,6077.04,10335.20
Chattogram Division,,28821,30025.30,29667.87,14943,14734.52,15720.57,97534,95965.69,107765.43,112477,110700.21,123486.00
18,Dhaka,551,533.17,751.55,692,678.78,655.53,5027,4921.03,4706.27,5719,5599.81,5361.80
19,Faridpur,1355,1326.00,1361.00,2391,3077.34,1088.73,6226,6573.05,8354.27,8617,9650.39,9443.00
20,Gazipur,2371,2541.00,2491.00,1043,1061.68,1163.50,8002,8288.32,5099.08,9045,9350.00,6262.58
21,Gopalganj,1056,1087.16,1096.52,246,373.04,267.79,3817,3959.49,5066.92,4063,4332.53,5334.71
22,Kishoreganj,798,936.86,952.49,235,223.10,245.78,10917,11834.11,11609.52,11152,12057.21,11855.30
23,Madaripur,1044,1048.68,1096.82,516,664.47,190.01,8567,10549.23,1970.78,9083,11213.70,2160.79
24,Manikganj,2701,2501.00,2498.00,1049,1144.77,3433.84,4613,4983.41,6622.16,5662,6128.18,10056.00
25,Munshiganj,269,269.83,265.71,108,107.61,4441.89,3116,3102.64,22356.91,3224,3210.25,26798.80
26,Narayanganj,80,112.41,112.40,166,191.53,398.45,1748,1976.92,4172.65,1914,2168.45,4571.10
27,Narsingdi,832,831.43,932.75,240,260.52,245.79,4789,5203.71,11609.51,5029,5464.23,11855.30
28,Rajbari,1776,1770.70,1851.14,3927,3539.84,3432.40,21608,19495.16,14196.60,25535,23035.00,17629.00
29,Shariatpur,1334,1525.00,1533.50,224,0.00,790.84,4884,4837.00,11640.86,5108,4837.00,12431.70
30,Tangail,2128,2944.35,2807.81,2904,3076.33,0.00,14012,13849.67,4989.20,16916,16926.00,4989.20
Dhaka Division,,16295,17427.59,17750.69,13741,14399.01,16354.55,97326,99573.74,112394.73,111067,113972.75,128749.28
31,Bagerhat,403,549.64,551.00,117,124.56,105.21,1870,2361.58,6941.00,1987,2486.14,7046.21
32,Chuadanga,893,895.10,900.39,5085,5047.30,132.52,2056,2057.22,2605.41,7141,7104.52,2737.93
33,Jashore,3682,3593.25,3370.00,4647,4713.32,6417.84,5468,5582.43,4427.39,10115,10295.75,10845.23
34,Jhenaidah,1871,1901.67,1920.58,7451,7471.30,5057.57,10367,10422.13,5858.43,17818,17893.43,10916.00
35,Khulna,2997,3107.04,2021.95,736,751.14,8010.86,4854,4568.48,11102.24,5590,5319.62,19113.10
36,Kushtia,3889,3921.00,7193.00,12392,12304.72,13441.46,45466,44878.28,48258.53,57858,57183.00,61699.99
37,Magura,517,605.82,1724.00,2409,2583.80,2451.16,4394,4372.90,5567.84,6803,6956.70,8019.00
38,Meherpur,6048,5427.20,5735.67,11296,8426.37,13441.46,3935,3291.03,48258.54,15231,11717.40,61700.00
39,Narail,1632,1654.90,1656.67,2578,2522.50,5173.45,5197,5192.42,2117.68,7775,7714.92,7291.13
40,Satkhira,4081,4097.75,4109.53,6092,6183.57,9704.76,4284,4174.08,3951.30,10376,10357.65,13656.06
Khulna Division,,26013,25753.37,29182.12,52803,50128.58,63936.29,87891,86900.55,139088.36,140694,137029.13,203024.65
41,Jamalpur,2635,2655.00,2666.00,319,344.82,344.82,12647,12808.18,12808.18,12966,13153.00,13153.00
