District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,26.58,24.58,29.79,0.00,0.00,0.00,10.00,12.30,15.00,10.00,12.30,15.00
2,Barishal,113.00,82.00,66.38,7.98,0.00,0.00,121.02,85.00,102.00,129.00,85.00,102.00
3,Bhola,2.67,7.66,8.01,0.00,0.00,0.00,3.38,5.09,5.49,3.38,5.09,5.49
4,Jhallokati,26.00,26.00,26.00,0.00,0.00,0.00,17.00,18.00,18.00,17.00,18.00,18.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,5.09,5.24,5.30,0.00,0.00,0.00,12.99,13.60,13.60,12.99,13.60,14.00
Barishal Division,,173.34,145.48,135.48,7.98,0.00,0.00,164.39,133.99,14.00,172.37,133.99,154.49
7,Bandarban,33.40,31.00,77.80,0.00,0.00,0.00,4.11,2.40,154.49,4.11,2.40,5.60
8,Brahmanbaria,26.04,26.04,26.15,0.00,0.00,0.00,36.45,37.98,5.60,36.45,37.98,38.53
9,Chandpur,12.75,12.75,12.76,0.00,0.00,0.00,42.44,42.76,38.53,42.44,42.76,44.76
10,Chattogram,43.69,41.09,29.71,0.00,0.00,0.00,165.94,164.44,44.76,165.94,164.44,167.50
11,Cumilla,43.24,44.58,46.48,12.99,13.10,12.89,45.28,41.08,167.50,58.27,52.85,58.94
12,Cox’s Bazar,12.74,13.53,13.18,0.00,0.00,0.00,56.17,58.45,46.05,56.17,58.45,57.20
13,Feni,1.99,2.02,3.97,0.00,0.00,0.00,3.38,3.39,5.70,3.38,3.39,5.20
14,Khagrachari,51.34,52.23,52.35,6.07,5.01,2.85,54.09,55.31,54.67,60.16,60.32,57.52
15,Lakshmipur,10.31,10.20,10.57,0.00,0.00,0.00,13.25,11.01,11.00,13.25,11.01,11.00
16,Noakhali,0.71,1.03,1.24,0.00,0.00,0.00,0.15,0.68,0.80,0.15,0.68,0.80
17,Rangamati,109.66,119.44,119.25,1.40,1.42,1.03,218.19,226.88,167.19,219.59,228.30,168.22
Chattogram Division,,345.87,353.91,393.46,20.46,18.20,16.77,639.45,644.38,599.00,659.91,662.58,615.77
18,Dhaka,27.08,29.22,27.26,0.00,0.00,0.00,107.14,95.57,89.37,107.14,95.57,89.37
19,Faridpur,7.00,8.00,8.00,0.00,0.00,0.00,25.77,27.99,30.25,25.77,27.99,30.25
20,Gazipur,16.00,18.00,17.00,0.00,0.00,0.00,81.18,85.45,86.61,81.18,85.45,86.61
21,Gopalganj,3.22,3.35,3.57,0.00,0.00,0.00,16.49,17.39,19.09,16.49,17.39,19.09
22,Kishoreganj,22.37,23.83,24.58,0.00,0.00,0.00,76.10,78.18,80.91,76.10,78.18,80.91
23,Madaripur,11.49,11.62,11.60,0.00,0.00,0.00,44.42,43.57,42.11,44.42,43.57,42.11
24,Manikganj,41.78,41.21,38.55,0.00,0.00,0.00,91.04,88.17,89.78,91.04,88.17,89.78
25,Munshiganj,22.79,22.92,20.41,0.00,0.00,0.00,126.71,129.21,140.17,126.71,129.21,140.17
26,Narayanganj,5.12,5.44,5.40,0.00,0.00,0.00,28.93,32.88,32.72,28.93,32.88,32.72
27,Narsingdi,22.51,22.65,23.27,0.05,0.00,0.00,29.33,31.28,37.16,29.38,31.28,37.16
28,Rajbari,7.57,7.56,8.02,0.00,0.00,0.00,19.62,31.42,32.69,19.62,31.42,32.69
29,Shariatpur,10.61,10.61,11.20,0.00,0.00,0.00,15.00,38.84,40.79,15.00,38.84,40.79
30,Tangail,51.48,51.47,51.32,0.00,0.00,0.00,274.98,272.90,278.07,274.98,272.90,278.07
Dhaka Division,,249.02,255.88,250.18,0.05,0.00,0.00,936.71,972.85,999.72,936.76,972.85,999.72
31,Bagerhat,54.58,60.24,57.13,0.00,0.00,0.00,1139.76,1031.06,973.54,1139.76,1031.06,973.54
32,Chuadanga,5.67,5.75,6.01,0.00,0.00,0.00,11.34,12.69,12.13,11.34,12.69,12.31
33,Jashore,41.88,43.71,50.41,0.00,0.00,0.00,353.02,388.48,396.27,353.02,388.48,396.27
34,Jhenaidah,26.75,28.17,29.26,0.00,0.00,0.00,128.52,133.74,134.39,128.52,133.74,134.39
35,Khulna,14.52,15.18,16.70,4.96,4.60,4.72,86.86,86.99,90.04,91.82,91.59,94.76
36,Kushtia,15.00,22.00,27.00,0.00,0.00,0.00,134.00,194.00,195.00,134.00,194.00,195.00
37,Magura,50.13,16.52,15.32,0.00,0.00,0.00,207.07,46.01,46.18,207.07,46.01,46.18
38,Meherpur,26.42,28.16,28.62,0.00,0.00,0.00,34.74,38.30,38.17,34.74,38.30,38.17
39,Narail,52.00,69.15,66.41,0.00,0.00,0.00,29.94,29.92,27.72,29.94,29.92,27.72
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Khulna Division,,286.95,288.88,296.86,4.96,4.60,4.72,2125.25,1961.19,1913.00,2130.21,1965.79,1918.34
41,Jamalpur,36.00,40.00,43.00,0.00,0.00,0.00,35.00,38.00,33.00,35.00,38.00,33.00
