District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden(M.Tons)",None,None,"Total Production of Inside
& Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,254,135.93,222.00,0,0.00,0.00,167,159.60,150.00,167,159.60,150.00
2,Barishal,523.33,185.00,135.00,0,0.00,0.00,800,405.00,429.00,800,405.00,429.00
3,Bhola,69.10,73.05,69.00,0,0.00,0.00,466.10,268.50,256.00,466.10,268.50,256.00
4,Jhallokati,192.19,187.00,172.00,0,0.00,0.00,114,110.00,106.00,114,110.00,106.00
5,Patuakhali,147,121.00,122.00,0,0.00,0.00,212,259.00,316.00,212,259.00,316.00
6,Pirojpur,76.74,77.08,78.00,0,0.00,0.00,98.81,99.31,100.00,98.81,99.31,100.00
Barishal Division,,1262.32,779.06,798.00,0,0.00,0.00,1857.91,1301.41,1357.00,1857.91,1301.41,1357.00
7,Bandarban,28,27.60,30.00,62.99,62.83,62.08,204.01,204.27,204.92,267,267.10,267.00
8,Brahmanbaria,278,274.80,277.18,0,0.00,0.00,960,988.60,976.23,960,988.60,976.23
9,Chandpur,84,86.30,67.22,0,0.00,173.51,435,434.90,1409.49,435,434.90,1583.00
10,Chattogram,474,449.50,536.62,15.4,11.81,0.00,1409.60,1237.29,428.32,1425,1249.10,428.32
11,Cumilla,472,473.00,473.00,167.85,167.89,0.00,1414.15,1415.11,781.67,1582,1583.00,781.67
12,Cox’s Bazar,75,54.10,75.56,0,0.00,11.95,851,757.90,1260.85,851,757.90,1272.80
13,Feni,179,173.00,174.82,0,0.00,0.00,182,182.10,271.00,182,182.10,271.00
14,Khagrachari,404,406.30,410.73,10.93,10.08,10.01,739.07,734.02,717.48,750,744.10,727.49
15,Lakshmipur,31,28.00,27.96,0,0.00,0.00,133,138.60,142.00,133,138.60,142.00
16,Noakhali,46,47.30,48.62,0,0.00,0.00,153,189.00,199.52,153,189.00,199.52
17,Rangamati,371,371.14,354.44,159.80,91.97,92.06,347.20,421.20,417.72,507,513.17,509.78
Chattogram Division,,2442,2391.04,2476.15,416.97,344.58,349.61,6828.03,6702.99,6809.20,7245,7047.57,7158.81
18,Dhaka,42.12,36.50,38.96,0,0.00,0.00,174.10,176.13,180.39,174.10,176.13,180.39
19,Faridpur,193,187.00,186.00,0,0.00,0.00,680.10,816.23,445.00,680.10,816.23,445.00
20,Gazipur,106,107.00,111.00,0,0.00,0.00,429,440.00,360.26,429,440.00,360.26
21,Gopalganj,103,114.37,100.91,0,0.00,0.00,375.20,394.43,368.93,375.20,394.43,368.93
22,Kishoreganj,320.51,256.86,12.30,0,0.00,0.00,1359,1324.34,110.46,1359,1324.34,110.46
23,Madaripur,140,140.96,141.02,0,0.00,0.00,559,757.36,108.15,559,757.36,108.15
24,Manikganj,189,183.01,181.63,0,0.00,0.00,326,388.10,724.49,326,388.10,724.49
25,Munshiganj,17,17.72,19.78,0,0.00,0.00,100.23,104.95,3173.70,100.23,104.95,3173.70
26,Narayanganj,10.02,12.90,13.12,0,0.00,0.00,118.82,107.70,338.64,118.82,107.70,338.64
27,Narsingdi,36.67,37.70,37.98,0,0.00,0.00,515.21,362.27,48.74,515.21,362.27,48.74
28,Rajbari,261.77,257.77,250.87,0,0.00,0.00,"3030.7
5",2950.75,2024.80,3030.75,2950.75,2024.80
29,Shariatpur,207.52,167.20,153.34,0,0.00,0.00,602.01,299.80,290.21,602.01,299.80,290.21
30,Tangail,89.04,86.72,99.12,0,0.00,0.00,521.85,518.25,519.70,521.85,518.25,519.70
Dhaka Division,,1715.65,1605.71,1346.03,0,0.00,0.00,8791.27,8640.31,8693.47,8791.27,8640.31,8693.47
31,Bagerhat,47,45.57,45.86,9.33,0.00,0.00,185.67,185.11,192.21,195,185.11,192.21
32,Chuadanga,51,51.69,52.20,0,0.00,0.00,120,119.54,118.25,120,119.54,118.25
33,Jashore,279,285.62,271.62,0,0.00,0.00,954,1010.00,1053.43,954,1010.00,1053.43
34,Jhenaidah,163,167.69,171.69,0,0.00,0.00,1111,1115.42,1119.52,1111,1115.42,1119.52
35,Khulna,123,123.17,129.58,9.23,8.98,0.00,305.77,301.62,285.33,315,310.60,285.33
36,Kushtia,760,765.00,675.00,327.21,329.15,329.15,"6966.7
9",7002.85,6196.85,7294,7332.00,6526.00
37,Magura,159,127.73,133.67,93.79,89.77,0.00,565.21,553.37,675.47,659,643.14,675.47
38,Meherpur,109,110.57,109.52,77.13,68.45,0.00,159.87,143.96,219.13,237,212.41,219.13
39,Narail,83,83.28,83.00,0,0.00,0.00,239,237.57,239.00,239,237.57,239.00
40,Satkhira,588,587.44,580.52,0,0.00,0.00,1117,1134.78,1131.01,1117,1134.78,1131.01
Khulna Division,,2362,2347.76,2252.66,516.69,496.35,329.15,11724.31,11804.22,11230.20,12241,12300.57,11559.35
