District/ Division,None,2022-23,None_1,None_2,None_3,None_4,2023-24,None_5,None_6,None_7,None_8
None,None,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
41,Jamalpur,655,265,19.71,1.818,482,482,195,19.75,1.822,355
42,Mymensingh,191,77,22.45,2.071,160,126,51,22.48,2.073,106
43,Netrokona,367,149,22.17,2.045,304,363,147,22.07,2.036,299
44,Sherpur,81,33,21.67,1.999,65,67,27,20.01,1.846,50
"Mymensingh
Division",None,1294,524,23.28,1.931,1011,1038,420,23.25,1.929,810
45,Bogura,1717,695,17.48,1.612,1120,1781,721,17.74,1.636,1179
46,Joypurhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
47,Naogaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
48,Natore,66,27,21.89,2.019,54,71,29,22.56,2.081,60
49,"Chapai
Nawabganj",0,0,0.00,0.000,0,0,0,0.00,0.000,0
50,Pabna,855,346,16.36,1.509,522,745,301,17.74,1.636,493
51,Rajshahi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
52,Sirajganj,5094,2062,22.13,2.041,4208,5303,2146,22.32,2.059,4418
Rajshahi Division,None,7732,3129,20.46,1.887,5904,7900,3197,20.86,1.924,6151
53,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Gaibandha,1161,470,20.61,1.901,893,924,374,20.23,1.866,698
55,Kurigram,2506,1015,19.06,1.757,1783,2388,966,19.07,1.759,1700
56,Lalmonirhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
58,Panchagar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
59,Rangpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
Rangpur Divison,None,3667,1484,19.55,1.803,2676,3312,1340,19.39,1.789,2398
61,Habiganj,114,46,19.67,1.814,84,91,37,21.96,2.026,75
62,Moulvibazar,929,376,20.89,1.927,724,724,293,21.01,1.938,568
63,Sunamganj,3384,1369,20.88,1.926,2637,3276,1326,20.17,1.860,2466
64,Sylhet,14026,5676,20.13,1.857,10539,12823,5189,20.88,1.926,9994
Sylhet Division,None,18453,7468,20.30,1.873,13985,16914,6845,20.75,1.914,13103
,Bangladesh,60657,24549,20.67,1.906,46790,56521,22876,20.80,1.918,43887
