District/ Division,None,2022-23,None,None,None,None,2023-24,None,None,None,None
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maun
d)","Hectors
( Bale)",( Bale),Acres,Hectors,"Acre
s
(Maun
d)","Hectors
(Bale)",(Bale)
41,Jamalpur,72360,29283,4.00,9.884,289440,70215,28416,4.53,11.194,318074
42,Mymensingh,13023,5270,4.38,10.823,57041,13037,5276,4.58,11.317,59709
43,Netrokona,12823,5189,3.90,9.637,50010,11140,4508,4.25,10.502,47345
44,Sherpur,5815,2353,5.67,14.011,32971,4215,1706,5.69,14.060,23983
Mymensingh Division,,104021,42095,4.13,10.202,429461,98607,39906,4.55,11.254,449112
45,Bogura,29825,12070,4.80,11.861,143160,26923,10896,5.38,13.294,144846
46,Joypurhat,5008,2027,4.83,11.935,24189,7275,2944,5.30,13.096,38559
47,Naogaon,14705,5951,4.85,11.985,71319,11144,4510,5.10,12.602,56835
48,Natore,76517,30965,4.78,11.812,365751,73624,29795,5.25,12.973,386526
49,"Chapai
Nawabganj",5248,2124,5.49,13.566,28812,6116,2475,5.82,14.381,35595
50,Pabna,108407,43870,5.25,12.973,569137,108757,44013,5.51,13.615,599251
51,Rajshahi,45364,18358,4.90,12.108,222284,45924,18585,5.25,12.973,241101
52,Sirajganj,39602,16026,4.67,11.540,184941,41523,16804,4.80,11.861,199312
Rajshahi Division,,324676,131389,4.96,12.251,1609592,321287,130023,5.30,13.090,1702025
53,Dinajpur,9905,4008,4.65,11.491,46058,9651,3906,4.90,12.108,47290
54,Gaibandha,37227,15065,4.59,11.342,170872,35012,14169,5.10,12.602,178561
55,Kurigram,46388,18772,5.23,12.924,242609,42995,17400,5.43,13.418,233463
56,Lalmonirhat,9519,3852,5.10,12.603,48547,9209,3727,5.30,13.096,48809
57,Nilphamari,18560,7511,5.20,12.850,96512,16318,6604,5.25,12.973,85670
58,Panchagar,21769,8809,5.91,14.604,128655,22736,9201,6.00,14.826,136416
59,Rangpur,21319,8627,5.88,14.530,125356,21031,8511,5.97,14.752,125555
60,Tahkurgaon,16163,6541,5.52,13.640,89220,16196,6555,5.91,14.604,95720
Rangpur Division,,180850,73186,5.24,12.951,947829,173148,70072,5.50,13.579,951483
61,Habigonj,856,346,5.42,13.393,4640,834,337,5.25,12.973,4376
62,Moulvibazar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
63,Sunamganj,1933,782,4.94,12.207,9549,1103,446,5.00,12.355,5515
64,Sylhet,0,0,0.00,0.000,0,0,0,0.00,0.000,0
Sylhet Division,,2789,1129,5.09,12.307,14189,1937,784,5.11,12.307,9891
BANGLADESH,,1803634,729891,4.69,11.588,8457674,1788113,723639,5.36,13.241,
