Variety,2022-23,None,2023-24,None,"Percentage
changes over
previous year"
,"Area
(in acre)","Area
(in hector)","Area
(in acre)","Area
(in hector)",
Local,"60,657","24,549","56,521","22,876",(-) 6.81%
HYV,"89,43,493","36,19,599","88,63,713","35,87,167",(-) 0.92%
Hybrid,"29,85,024","12,08,142","31,32,563","12,67,732",(+) 4.93%
Total (Local+HYV+Hybrid),"119,89,174","48,52,290","120,52,797","48,77,775",(+) 0.53%
