District/ Division,None,2022-23,None,None,None,None,2023-24,None,None,None,None
,,Area,,Yield Rate,,"Produc
tion",Area,,Yield Rate,,"Produ
ction"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)","(M.
Ton)"
39,Narail,19789,8008,22.71,2.094,16772,22042,8920,24.83,2.290,20428
40,Satkhira,15588,6308,31.60,2.915,18387,15451,6253,32.92,3.036,18986
Khulna Division,,400893,162239,30.93,2.852,462783,442979,179271,32.76,3.022,541736
41,Jamalpur,9032,3655,24.34,2.245,8207,9428,3815,33.32,3.073,11727
42,Mymensingh,46783,18933,30.10,2.776,52563,43857,17749,31.50,2.905,51568
43,Netrokona,696,282,28.17,2.599,732,1197,484,31.31,2.888,1399
44,Sherpur,8852,3582,28.35,2.614,9366,7153,2895,30.12,2.778,8043
"Mymensingh
Division",,65363,26452,29.05,2.679,70868,61635,24943,31.62,2.916,72736
45,Bogura,38964,15769,30.20,2.786,43924,32157,13014,34.13,3.148,40965
46,Joypurhat,540,219,29.60,2.730,597,548,222,31.15,2.873,637
47,Naogaon,136971,55431,33.20,3.062,169744,142595,57707,33.09,3.052,"17614
6"
48,Natore,23025,9318,30.08,2.774,25852,25391,10276,32.71,3.017,31002
49,"Chapai
Nawabganj",103068,41711,33.73,3.111,129767,100478,40663,33.05,3.048,"12394
2"
50,Pabna,50582,20470,24.16,2.228,45611,55598,22500,27.68,2.553,57452
51,Rajshahi,112671,45597,35.33,3.259,148600,110198,44596,36.51,3.367,"15017
1"
52,Sirajganj,15046,6089,25.23,2.327,14170,15701,6354,26.42,2.437,15487
Rajshahi Division,,480867,194604,32.22,2.971,578264,482666,195332,33.07,3.050,595801
53,Dinajpur,25595,10358,30.00,2.767,28662,25733,10414,32.86,3.031,31563
54,Gaibandha,32769,13261,30.10,2.776,36814,35021,14173,31.93,2.945,41741
55,Kurigram,14391,5824,29.90,2.758,16064,17019,6887,33.56,3.095,21318
56,Lalmonirhat,28162,11397,32.00,2.952,33639,28526,11544,35.82,3.304,38141
57,Nilphamari,3916,1585,31.20,2.878,4561,4507,1824,34.40,3.173,5787
58,Panchagar,6084,2462,30.01,2.768,6816,6772,2741,33.67,3.105,8510
59,Rangpur,57276,23179,31.82,2.935,68030,62022,25100,34.66,3.197,80247
60,Thakurgaon,50276,20346,31.37,2.893,58871,47376,19173,35.10,3.237,62064
Rangpur Divison,,218469,88413,31.08,2.867,253455,226976,91856,34.15,3.150,289371
61,Habiganj,107676,43576,29.08,2.682,116877,88827,35948,31.22,2.880,103522
62,Moulvibazar,103726,41977,32.18,2.968,124606,53096,21488,32.80,3.025,65001
63,Sunamganj,35250,14265,31.84,2.937,41899,32303,13073,34.71,3.202,41856
64,Sylhet,64006,25903,31.61,2.916,75533,61851,25031,33.99,3.135,78474
Sylhet Division,,310658,125722,30.95,2.855,358914,236077,95539,32.78,3.023,288853
Bangladesh,,2622404,1061273,29.64,2.734,2901156,2556899,1034763,31.15,2.873,2972838
